2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,Humboldt-Universität zu Berlin,Germany,78.1,51+,77.4,39,76.2,51+,,,,,
51-100,,KDI School of Public Policy and Management,Republic of Korea,79.6,51+,50.1,51+,95.1,2,,,,,
51-100,51-100,Kyoto University,Japan,74.3,51+,76.2,50=,66.4,51+,,,,,
51-100,51-100,"Lingnan University, Hong Kong","Hong Kong SAR, China",84.1,41,54.6,51+,68.5,51+,,,,,
51-100,101-130,Lund University,Sweden,74.6,51+,61.5,51+,75.2,51+,,,,,
51-100,,Nanjing University,China (Mainland),75.1,51+,61.4,51+,75.9,51+,,,,,
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,73.1,51+,79.4,31,78.9,51+,,,,,
51-100,37,Pontificia Universidad Católica de Chile (UC),Chile,76.0,51+,86.4,9,55.3,51+,,,,,
51-100,51-100,Queen's University Belfast,United Kingdom,79.6,51+,60.9,51+,75.4,51+,,,,,
51-100,101-130,Shanghai Jiao Tong University,China (Mainland),74.2,51+,79.3,32,84.5,34,,,,,
51-100,,Sun Yat-sen University,China (Mainland),79.0,51+,67.2,51+,77.6,51+,,,,,
51-100,51-100,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",80.6,48,71.1,51+,66.9,51+,,,,,
51-100,51-100,The University of Auckland,New Zealand,72.3,51+,69.6,51+,73.9,51+,,,,,
51-100,49,The University of Georgia,United States of America,84.9,37=,52.7,51+,81.4,51+,,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,72.3,51+,78.9,34,69.9,51+,,,,,
51-100,51-100,The University of Queensland,Australia,75.7,51+,75.2,51+,82.4,45=,,,,,
51-100,51-100,"Trinity College Dublin, The University of Dublin",Ireland,76.3,51+,70.9,51+,67.9,51+,,,,,
51-100,,Universidad de Chile,Chile,77.2,51+,82.5,18,56.8,51+,,,,,
51-100,=34,Universidad Nacional Autónoma de México (UNAM),Mexico,72.6,51+,82.9,16,53.4,51+,,,,,
51-100,=42,Universidade de São Paulo,Brazil,72.6,51+,74.8,51+,61.1,51+,,,,,
51-100,36,Universität Bremen,Germany,88.0,24=,21.9,51+,74.1,51+,,,,,
51-100,51-100,Universitat de Barcelona,Spain,78.3,51+,74.3,51+,53.1,51+,,,,,
51-100,51-100,University College Dublin,Ireland,77.1,51+,64.3,51+,67.9,51+,,,,,
51-100,51-100,University of Bath,United Kingdom,75.6,51+,66.4,51+,78.1,51+,,,,,
51-100,51-100,University of Birmingham,United Kingdom,79.8,51+,66.2,51+,77.7,51+,,,,,
51-100,51-100,University of Glasgow,United Kingdom,76.7,51+,67.8,51+,87.3,23,,,,,
51-100,51-100,University of Helsinki,Finland,84.3,40,57.4,51+,74.5,51+,,,,,
51-100,51-100,University of Leeds,United Kingdom,80.0,51+,71.2,51+,69.8,51+,,,,,
51-100,51-100,University of Milan,Italy,76.3,51+,61.3,51+,73.5,51+,,,,,
51-100,51-100,University of Pennsylvania,United States of America,71.7,51+,76.3,48=,82.3,47=,,,,,
51-100,=45,University of Southern California,United States of America,79.8,51+,70.5,51+,80.2,51+,,,,,
51-100,101-130,University of Southern Denmark (SDU),Denmark,75.8,51+,55.6,51+,79.5,51+,,,,,
51-100,=42,University of Washington,United States of America,80.2,50,57.5,51+,84.3,35,,,,,
51-100,51-100,University of Zurich,Switzerland,74.5,51+,59.8,51+,79.3,51+,,,,,
51-100,51-100,Ural Federal University - UrFU,Russian Federation,77.9,51+,66.5,51+,47.0,51+,,,,,
51-100,,Wuhan University,China (Mainland),78.0,51+,63.3,51+,82.9,43,,,,,
51-100,101-130,Zhejiang University,China (Mainland),75.4,51+,75.2,51+,91.6,10,,,,,
101-150,,American University of Beirut (AUB),Lebanon,69.1,51+,71.7,51+,70.5,51+,,,,,
101-150,51-100,Boston University,United States of America,65.1,51+,71.5,51+,79.3,51+,,,,,
101-150,,Brown University,United States of America,72.5,51+,67.0,51+,74.5,51+,,,,,
101-150,101-130,Cardiff University,United Kingdom,69.1,51+,60.3,51+,88.8,18,,,,,
101-150,101-130,Carnegie Mellon University,United States of America,69.3,51+,66.8,51+,80.0,51+,,,,,
101-150,101-130,Chulalongkorn University,Thailand,70.2,51+,66.4,51+,61.9,51+,,,,,
101-150,,Durham University,United Kingdom,66.2,51+,72.7,51+,77.8,51+,,,,,
101-150,,Emory University,United States of America,68.0,51+,60.4,51+,74.8,51+,,,,,
101-150,101-130,"Essex, University of",United Kingdom,75.7,51+,42.1,51+,83.6,41,,,,,
101-150,,Ewha Womans University,Republic of Korea,72.6,51+,62.6,51+,71.4,51+,,,,,
101-150,51-100,George Washington University,United States of America,71.5,51+,68.0,51+,74.0,51+,,,,,
101-150,,Georgia Institute of Technology,United States of America,67.2,51+,69.2,51+,73.8,51+,,,,,
101-150,51-100,HSE University,Russian Federation,66.5,51+,72.7,51+,61.6,51+,,,,,
101-150,,Huazhong University of Science and Technology,China (Mainland),71.7,51+,61.1,51+,64.0,51+,,,,,
101-150,,Imperial College London,United Kingdom,61.0,51+,81.8,20,77.1,51+,,,,,
101-150,,Kyung Hee University,Republic of Korea,69.4,51+,62.9,51+,81.0,51+,,,,,
101-150,101-130,London School of Hygiene & Tropical Medicine,United Kingdom,73.8,51+,40.8,51+,74.8,51+,,,,,
101-150,101-130,Ludwig-Maximilians-Universität München,Germany,65.3,51+,74.3,51+,73.6,51+,,,,,
101-150,101-130,Monash University,Australia,66.1,51+,76.2,50=,82.1,50,,,,,
101-150,,Politecnico di Milano,Italy,67.7,51+,71.2,51+,78.1,51+,,,,,
101-150,51-100,Pontificia Universidad Católica del Perú,Peru,69.6,51+,67.0,51+,59.2,51+,,,,,
101-150,51-100,Rutgers University–Newark,United States of America,75.2,51+,40.4,51+,88.5,20,,,,,
101-150,,SOAS University of London,United Kingdom,65.4,51+,64.4,51+,90.7,13,,,,,
101-150,101-130,Tecnológico de Monterrey,Mexico,64.2,51+,82.6,17,54.2,51+,,,,,
