2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
=91,=100,Universiti Malaya (UM),Malaysia,70.9,88=,66.5,151+,82.1,151+,73.2,151+,87.8,18,74.9
=93,=89,Texas A&M University,United States of America,69.1,109,66.7,151+,83.7,151+,79.9,107=,77.8,73,74.8
=93,101-150,Université de Strasbourg,France,69.3,107,69.2,138,82.6,151+,71.5,151+,93.3,8,74.8
=95,=74,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,69.6,103=,70.1,130,81.8,151+,77.7,129,79.5,59,74.7
=95,82,Indian Institute of Science,India,73.3,73=,80.4,41,80.0,151+,75.3,151+,63.0,151+,74.7
=95,=91,Uppsala University,Sweden,70.2,94=,68.7,145=,83.9,151+,74.7,151+,80.3,55,74.7
=98,=89,Indian Institute of Technology Delhi (IITD),India,74.9,62,77.0,62=,77.2,151+,72.8,151+,69.2,151+,74.6
=98,101-150,Yale University,United States of America,73.6,68,81.7,34=,89.2,72=,72.6,151+,46.4,151+,74.6
100,101-150,Johns Hopkins University,United States of America,72.0,83,78.1,53=,84.0,151+,75.8,146=,58.9,151+,74.5
101,=83,King Abdulaziz University (KAU),Saudi Arabia,59.1,151+,62.7,151+,89.1,76,84.3,65=,97.0,4=,74.3
=102,101-150,National Tsing Hua University,Taiwan,70.6,90=,73.9,92=,84.1,151+,78.4,123,61.0,151+,74.2
=102,87,The University of Osaka,Japan,75.6,59=,70.4,124,73.6,151+,74.3,151+,72.9,128=,74.2
=104,=85,Indian Institute of Technology Bombay (IITB),India,76.1,55,81.9,33,81.2,151+,69.3,151+,52.9,151+,74.0
=104,101-150,Ulsan National Institute of Science and Technology (UNIST),Republic of Korea,70.6,90=,67.4,151+,91.8,31,80.8,99=,45.3,151+,74.0
=104,101-150,University of Nottingham,United Kingdom,69.8,100=,66.3,151+,84.0,151+,72.0,151+,82.9,37,74.0
107,101-150,Wuhan University,China (Mainland),64.7,151+,63.8,151+,90.3,55=,88.7,40,57.4,151+,73.8
=108,101-150,King Saud University,Saudi Arabia,63.2,151+,60.0,151+,83.6,151+,79.8,110,97.0,4=,73.7
=108,=95,Sorbonne University,France,64.3,151+,83.0,31,78.8,151+,74.2,151+,90.9,11=,73.7
=110,101-150,Beihang University (former BUAA),China (Mainland),67.0,128,58.1,151+,85.8,140=,89.8,34,57.6,151+,73.5
=110,=83,The Ohio State University,United States of America,71.7,85,67.8,151+,88.0,87=,74.9,151+,55.0,151+,73.5
=110,101-150,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,70.9,88=,68.9,142=,77.8,151+,72.0,151+,82.4,42,73.5
113,101-150,University of Wollongong,Australia,57.2,151+,62.1,151+,97.0,2,88.3,42,69.5,151+,73.1
114,101-150,Indian Institute of Technology Madras (IITM),India,72.7,78,79.0,48=,76.5,151+,70.2,151+,66.8,151+,73.0
115,101-150,Indian Institute of Technology Kharagpur (IIT-KGP),India,69.9,98=,77.0,62=,80.2,151+,74.2,151+,63.4,151+,72.9
116,151-200,Sun Yat-sen University,China (Mainland),59.9,151+,55.2,151+,91.1,40,92.8,15=,65.2,151+,72.8
=117,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,65.0,148=,63.1,151+,87.6,95=,75.8,146=,77.2,78=,72.7
