2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,201-250,Xi’an Jiaotong University,China (Mainland),54.3,101+,70.4,91=,91.4,50=,87.8,88=,29.1,101+,
201-250,201-250,Ajou University,Republic of Korea,68.0,101+,51.7,101+,78.4,101+,79.7,101+,16.4,101+,
201-250,251-300,Al Ain University,United Arab Emirates,72.2,74,63.2,101+,70.6,101+,70.3,101+,26.4,101+,
201-250,251-300,Al-Azhar University,Egypt,56.4,101+,54.4,101+,86.0,101+,85.2,101+,48.1,101+,
201-250,151-200,Amity University,India,56.7,101+,57.1,101+,81.9,101+,80.9,101+,41.5,101+,
201-250,251-300,Banaras Hindu University,India,59.3,101+,54.6,101+,81.8,101+,82.1,101+,31.4,101+,
201-250,,Case Western Reserve University,United States of America,52.5,101+,51.3,101+,88.3,101+,81.6,101+,50.5,101+,
201-250,301-350,Central South University,China (Mainland),55.2,101+,48.3,101+,90.0,78=,92.3,32=,20.0,101+,
201-250,151-200,Charles University,Czechia,53.8,101+,57.0,101+,83.3,101+,82.5,101+,60.8,88=,
201-250,151-200,Curtin University,Australia,53.4,101+,60.9,101+,82.1,101+,83.4,101+,46.8,101+,
201-250,151-200,Griffith University,Australia,55.7,101+,47.8,101+,84.4,101+,81.1,101+,57.4,101+,
201-250,201-250,Hacettepe University,Türkiye,54.9,101+,59.2,101+,85.4,101+,83.4,101+,53.6,101+,
201-250,201-250,Lund University,Sweden,54.6,101+,71.3,85=,82.3,101+,78.6,101+,58.0,101+,
201-250,201-250,Mansoura University,Egypt,55.8,101+,56.9,101+,85.0,101+,83.6,101+,49.7,101+,
201-250,201-250,North Carolina State University,United States of America,53.5,101+,61.7,101+,87.0,101+,83.8,101+,37.0,101+,
201-250,201-250,Northeastern University,United States of America,50.4,101+,59.9,101+,90.4,72=,85.9,101+,54.1,101+,
201-250,251-300,Peking Union Medical College,China (Mainland),56.7,101+,41.4,101+,84.1,101+,94.9,12,35.7,101+,
201-250,201-250,Pennsylvania State University,United States of America,54.4,101+,71.9,78,85.9,101+,82.3,101+,30.6,101+,
201-250,201-250,Pontificia Universidad Católica de Chile (UC),Chile,59.2,101+,73.7,67,74.5,101+,76.9,101+,43.0,101+,
201-250,,Pusan National University,Republic of Korea,59.7,101+,54.4,101+,85.9,101+,83.2,101+,21.3,101+,
201-250,151-200,Queen Mary University of London,United Kingdom,54.5,101+,62.2,101+,89.8,82=,84.0,101+,41.4,101+,
201-250,,Shanghai University of Traditional Chinese Medicine,China (Mainland),60.5,101+,28.4,101+,89.4,96=,91.6,38,23.0,101+,
201-250,251-300,Technische Universität Dresden,Germany,56.1,101+,70.7,89,81.3,101+,79.2,101+,54.5,101+,
201-250,201-250,Tehran University of Medical Sciences,Iran (Islamic Republic of),49.9,101+,14.2,101+,89.4,96=,96.4,5,73.7,24,
201-250,151-200,The University of Osaka,Japan,63.3,101+,71.5,82,78.2,101+,78.6,101+,25.9,101+,
201-250,301-350,Tianjin University,China (Mainland),59.0,101+,57.0,101+,85.5,101+,82.5,101+,21.7,101+,
201-250,251-300,Umm Al-Qura University,Saudi Arabia,54.6,101+,60.8,101+,84.6,101+,80.2,101+,48.1,101+,
