2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-260,201-240,Universidad Nacional de Colombia,Colombia,64.4,51+,67.1,51+,46.9,51+,30.9,51+,,,
201-260,201-240,"Universita' degli Studi di Napoli ""L'Orientale""",Italy,66.7,51+,74.2,51+,29.9,51+,,51+,,,
201-260,201-240,Universität Hamburg,Germany,52.2,51+,70.8,51+,72.3,51+,58.5,51+,,,
201-260,151-200,Universität Innsbruck,Austria,53.0,51+,58.5,51+,74.0,51+,61.8,51+,,,
201-260,201-240,Universität Leipzig,Germany,57.4,51+,75.1,51+,67.6,51+,61.8,51+,,,
201-260,151-200,Universitat Pompeu Fabra (Barcelona),Spain,60.1,51+,47.1,51+,74.9,51+,61.8,51+,,,
201-260,,Universitat Rovira i Virgili,Spain,57.0,51+,35.6,51+,80.5,51+,74.2,51+,,,
201-260,,Université de Lille,France,58.2,51+,40.1,51+,61.7,51+,54.7,51+,,,
201-260,201-240,Université de Montréal,Canada,55.6,51+,59.7,51+,74.9,51+,61.8,51+,,,
201-260,151-200,Université Laval,Canada,64.1,51+,55.2,51+,57.4,51+,45.3,51+,,,
201-260,151-200,Universiti Sains Malaysia (USM),Malaysia,62.7,51+,60.8,51+,35.6,51+,39.0,51+,,,
201-260,,University College Cork,Ireland,58.0,51+,62.8,51+,57.8,51+,45.3,51+,,,
201-260,151-200,University of Bari,Italy,53.2,51+,74.9,51+,76.9,51+,64.8,51+,,,
201-260,201-240,University of Central Florida,United States of America,54.1,51+,89.9,11,64.3,51+,54.7,51+,,,
201-260,201-240,University of Coimbra,Portugal,57.7,51+,32.4,51+,77.4,51+,74.2,51+,,,
201-260,,University of Cyprus (UCY),Cyprus,63.6,51+,35.7,51+,72.2,51+,61.8,51+,,,
201-260,,University of Florence,Italy,58.3,51+,46.6,51+,75.8,51+,67.4,51+,,,
201-260,201-240,University of Galway,Ireland,60.5,51+,59.8,51+,52.0,51+,39.0,51+,,,
201-260,201-240,University of Geneva,Switzerland,60.2,51+,46.6,51+,76.0,51+,61.8,51+,,,
201-260,101-150,University of Göttingen,Germany,59.1,51+,44.7,51+,82.1,51+,69.9,51+,,,
201-260,,University of Leeds,United Kingdom,50.5,51+,71.9,51+,82.1,51+,64.8,51+,,,
201-260,,University of Lisbon,Portugal,53.7,51+,38.1,51+,79.2,51+,76.2,51+,,,
201-260,,University of Ljubljana,Slovenia,53.6,51+,61.3,51+,70.8,51+,58.5,51+,,,
201-260,151-200,University of New Mexico,United States of America,57.8,51+,33.5,51+,84.4,39=,72.1,51+,,,
201-260,151-200,University of Notre Dame,United States of America,58.9,51+,50.3,51+,74.3,51+,74.2,51+,,,
201-260,,University of Salamanca,Spain,51.4,51+,63.7,51+,75.1,51+,67.4,51+,,,
201-260,,University of the Basque Country,Spain,55.1,51+,35.7,51+,77.2,51+,69.9,51+,,,
201-260,201-240,University of Tromsø The Arctic University of Norway,Norway,57.8,51+,32.2,51+,85.2,33,84.3,11=,,,
201-260,,University of Waikato,New Zealand,51.7,51+,52.2,51+,88.3,12,61.8,51+,,,
201-260,151-200,University of Zurich,Switzerland,60.3,51+,53.9,51+,74.9,51+,64.8,51+,,,
201-260,201-240,Ural Federal University - UrFU,Russian Federation,57.2,51+,76.9,51+,51.3,51+,45.3,51+,,,
201-260,,Victoria University of Wellington,New Zealand,54.8,51+,64.9,51+,66.2,51+,61.8,51+,,,
201-260,,Vrije Universiteit Brussel (VUB),Belgium,61.5,51+,48.1,51+,72.8,51+,61.8,51+,,,
201-260,,Western Sydney University,Australia,62.9,51+,56.0,51+,49.8,51+,39.0,51+,,,
201-260,201-240,Westfälische Wilhelms-Universität Münster,Germany,57.0,51+,60.9,51+,62.5,51+,54.7,51+,,,
201-260,,Xiamen University,China (Mainland),63.8,51+,53.6,51+,61.1,51+,50.4,51+,,,
201-260,201-240,Yarmouk University,Jordan,59.7,51+,58.3,51+,62.8,51+,58.5,51+,,,
