2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,151-200,"Trinity College Dublin, The University of Dublin",Ireland,70.1,51+,73.2,51+,86.8,51+,72.6,51+,51.9,51+,
151-200,151-200,Universidad de Buenos Aires (UBA),Argentina,71.9,51+,71.0,51+,81.1,51+,74.7,51+,46.5,51+,
151-200,151-200,Universidad de Concepción,Chile,64.0,51+,65.4,51+,84.7,51+,73.8,51+,60.7,51+,
151-200,151-200,Universitat Autònoma de Barcelona,Spain,67.0,51+,64.0,51+,85.6,51+,75.2,51+,61.2,51+,
151-200,151-200,Université Claude Bernard Lyon 1,France,63.0,51+,61.6,51+,84.9,51+,76.3,51+,64.2,51+,
151-200,151-200,Université de Liège,Belgium,62.5,51+,62.6,51+,85.9,51+,76.9,51+,73.3,24,
151-200,151-200,University College Dublin,Ireland,66.2,51+,63.4,51+,88.9,51+,73.5,51+,52.5,51+,
151-200,101-150,University of Aberdeen,United Kingdom,69.3,51+,58.0,51+,84.6,51+,71.9,51+,59.7,51+,
151-200,101-150,University of Amsterdam,Netherlands,60.5,51+,71.1,51+,89.2,51+,74.9,51+,58.7,51+,
151-200,151-200,University of Bordeaux,France,64.4,51+,62.5,51+,86.7,51+,73.2,51+,55.9,51+,
151-200,151-200,"University of California, Riverside",United States of America,69.1,51+,59.6,51+,90.5,51+,78.4,51+,48.6,51+,
151-200,201-240,University of Delaware,United States of America,71.2,51+,55.2,51+,83.4,51+,72.9,51+,61.9,51+,
151-200,151-200,University of Glasgow,United Kingdom,71.3,51+,63.4,51+,85.8,51+,69.3,51+,60.4,51+,
151-200,151-200,University of Gothenburg,Sweden,65.4,51+,45.9,51+,95.8,8,80.8,51+,50.2,51+,
151-200,101-150,University of Leicester,United Kingdom,63.2,51+,52.7,51+,89.6,51+,81.4,51+,67.9,51+,
151-200,151-200,University of Liverpool,United Kingdom,71.0,51+,62.7,51+,87.1,51+,73.2,51+,57.2,51+,
151-200,101-150,University of Miami,United States of America,72.6,51+,49.3,51+,88.4,51+,75.5,51+,56.6,51+,
151-200,101-150,University of Minnesota Twin Cities,United States of America,62.3,51+,67.4,51+,88.0,51+,78.6,51+,61.2,51+,
151-200,151-200,University of Naples - Federico II,Italy,61.5,51+,67.8,51+,83.8,51+,77.1,51+,71.1,33=,
151-200,151-200,"University of North Carolina, Chapel Hill",United States of America,66.2,51+,64.2,51+,88.5,51+,72.6,51+,52.4,51+,
151-200,101-150,University of Plymouth,United Kingdom,71.7,51+,68.3,51+,84.6,51+,71.3,51+,45.7,51+,
151-200,151-200,University of Victoria (UVic),Canada,66.6,51+,60.1,51+,88.0,51+,76.1,51+,52.8,51+,
151-200,151-200,University of Virginia,United States of America,63.6,51+,58.5,51+,87.9,51+,74.9,51+,56.0,51+,
151-200,151-200,University of Wollongong,Australia,66.3,51+,62.9,51+,87.8,51+,75.8,51+,56.1,51+,
151-200,101-150,Victoria University of Wellington,New Zealand,71.4,51+,66.9,51+,84.8,51+,70.3,51+,44.5,51+,
151-200,,Xi’an Jiaotong University,China (Mainland),65.6,51+,76.3,51+,85.6,51+,76.9,51+,43.3,51+,
201-250,,Albert-Ludwigs-Universitaet Freiburg,Germany,60.0,51+,62.1,51+,87.0,51+,71.3,51+,57.5,51+,
201-250,201-240,Charles University,Czechia,59.0,51+,57.8,51+,81.2,51+,74.1,51+,62.3,51+,
201-250,,City University of Hong Kong,"Hong Kong SAR, China",64.6,51+,63.7,51+,91.1,51+,75.8,51+,28.6,51+,
201-250,,East China Normal University,China (Mainland),60.5,51+,39.8,51+,89.6,51+,82.1,51+,44.1,51+,
201-250,151-200,Florida State University,United States of America,62.9,51+,57.5,51+,87.8,51+,74.7,51+,54.3,51+,
201-250,201-240,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,62.8,51+,59.7,51+,84.3,51+,71.0,51+,66.3,51+,
201-250,201-240,George Mason University,United States of America,58.1,51+,42.8,51+,91.9,43=,79.6,51+,55.2,51+,
201-250,201-240,Indian Institute of Science,India,69.2,51+,82.7,29=,81.0,51+,68.9,51+,39.7,51+,
201-250,201-240,Indian Institute of Technology Kharagpur (IIT-KGP),India,69.8,51+,74.6,51+,83.7,51+,73.8,51+,30.2,51+,
201-250,151-200,James Cook University,Australia,73.2,51+,52.8,51+,85.9,51+,68.2,51+,51.6,51+,
201-250,201-240,King Abdulaziz University (KAU),Saudi Arabia,59.2,51+,61.5,51+,87.7,51+,75.8,51+,59.1,51+,
201-250,201-240,King's College London,United Kingdom,60.5,51+,68.7,51+,87.6,51+,70.0,51+,43.2,51+,
201-250,,Leibniz University Hannover,Germany,67.8,51+,54.1,51+,84.8,51+,70.0,51+,49.2,51+,
201-250,151-200,Lomonosov Moscow State University,Russian Federation,62.1,51+,86.0,15=,64.9,51+,74.4,51+,66.7,51+,
201-250,,Memorial University of Newfoundland,Canada,62.0,51+,46.7,51+,88.0,51+,76.9,51+,44.1,51+,
201-250,201-240,National Central University,Taiwan,60.2,51+,64.5,51+,84.1,51+,72.6,51+,58.5,51+,
201-250,,North Carolina State University,United States of America,54.1,51+,70.5,51+,90.0,51+,77.1,51+,47.2,51+,
201-250,,Northwest University (China),China (Mainland),60.4,51+,43.9,51+,88.6,51+,81.9,51+,37.2,51+,
201-250,,Royal Holloway University of London,United Kingdom,64.2,51+,59.7,51+,84.4,51+,70.6,51+,48.0,51+,
201-250,,Rutgers University–New Brunswick,United States of America,63.4,51+,58.4,51+,86.0,51+,74.1,51+,52.1,51+,
201-250,201-240,RWTH Aachen University,Germany,65.4,51+,66.8,51+,81.8,51+,68.5,51+,61.7,51+,
201-250,201-240,"Stony Brook University, State University of New York",United States of America,62.4,51+,33.2,51+,93.9,21,76.9,51+,43.9,51+,
201-250,201-240,The University of Sheffield,United Kingdom,62.0,51+,62.5,51+,89.8,51+,71.0,51+,54.5,51+,
201-250,,Universität Innsbruck,Austria,60.0,51+,43.2,51+,89.3,51+,74.9,51+,59.5,51+,
201-250,151-200,Université Côte d'Azur,France,55.8,51+,36.5,51+,85.2,51+,77.4,51+,74.2,20,
201-250,,Université de Bretagne Occidentale (UBO),France,57.3,51+,29.0,51+,88.5,51+,80.1,51+,74.1,21=,
201-250,201-240,Université de Rennes 1 (University of Rennes),France,61.4,51+,54.4,51+,88.2,51+,74.7,51+,59.5,51+,
201-250,151-200,Université de Strasbourg,France,57.8,51+,66.5,51+,86.5,51+,76.3,51+,62.8,51+,
201-250,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,72.1,51+,72.1,51+,81.2,51+,68.2,51+,47.8,51+,
201-250,201-240,University of Cologne,Germany,59.1,51+,54.7,51+,83.6,51+,74.4,51+,66.3,51+,
201-250,,University of Connecticut,United States of America,60.7,51+,45.1,51+,92.5,35,77.4,51+,47.3,51+,
201-250,151-200,University of Granada,Spain,65.1,51+,58.3,51+,80.4,51+,72.6,51+,61.4,51+,
201-250,151-200,University of Groningen,Netherlands,57.2,51+,63.1,51+,88.9,51+,73.5,51+,60.0,51+,
201-250,201-240,University of Massachusetts Amherst,United States of America,56.3,51+,70.1,51+,85.5,51+,73.2,51+,52.9,51+,
201-250,201-240,University of Milan,Italy,65.2,51+,73.7,51+,84.4,51+,69.6,51+,43.3,51+,
201-250,151-200,University of Milano-Bicocca,Italy,60.7,51+,56.6,51+,88.8,51+,75.8,51+,55.6,51+,
201-250,201-240,University of Nebraska - Lincoln,United States of America,56.0,51+,75.1,51+,91.1,51+,74.4,51+,40.6,51+,
201-250,151-200,University of Nottingham,United Kingdom,56.4,51+,69.7,51+,85.6,51+,73.8,51+,55.4,51+,
201-250,201-240,University of Oregon,United States of America,66.8,51+,63.1,51+,83.3,51+,70.6,51+,39.2,51+,
201-250,201-240,University of Otago,New Zealand,74.4,51+,69.3,51+,79.5,51+,65.9,51+,35.4,51+,
201-250,201-240,University of Pennsylvania,United States of America,67.8,51+,71.4,51+,81.9,51+,64.2,51+,41.9,51+,
201-250,201-240,University of Pisa,Italy,63.5,51+,77.1,49=,77.9,51+,69.3,51+,65.9,51+,
201-250,,University of Porto,Portugal,60.3,51+,53.2,51+,82.1,51+,71.6,51+,61.3,51+,
201-250,201-240,University of Saskatchewan,Canada,58.1,51+,59.1,51+,91.7,47=,76.1,51+,49.3,51+,
201-250,201-240,University of Tsukuba,Japan,58.6,51+,55.0,51+,89.5,51+,73.8,51+,49.8,51+,
201-250,,University of Turin,Italy,56.9,51+,58.9,51+,85.1,51+,72.6,51+,56.2,51+,
201-250,151-200,University of Utah,United States of America,65.8,51+,42.5,51+,87.6,51+,76.9,51+,53.9,51+,
201-250,201-240,University of Witwatersrand,South Africa,66.0,51+,49.0,51+,82.0,51+,74.9,51+,54.9,51+,
201-250,201-240,University of York,United Kingdom,53.8,51+,55.8,51+,90.6,51+,76.6,51+,56.5,51+,
201-250,201-240,Western University,Canada,62.8,51+,60.9,51+,81.7,51+,70.0,51+,54.2,51+,
201-250,,Xiamen University,China (Mainland),74.9,51+,48.5,51+,81.8,51+,74.4,51+,43.1,51+,
