2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,101-150,University of Naples - Federico II,Italy,61.3,101+,63.9,101+,83.3,101+,74.0,101+,71.8,59,
151-200,151-200,University of Porto,Portugal,66.7,101+,57.8,101+,83.8,101+,76.8,101+,72.5,54,
151-200,201-250,Washington University in St. Louis,United States of America,67.9,101+,61.8,101+,86.1,101+,68.9,101+,26.8,101+,
151-200,151-200,Western University,Canada,55.3,101+,68.1,101+,86.3,101+,73.4,101+,54.7,101+,
151-200,201-250,Xiamen University,China (Mainland),65.7,101+,53.6,101+,93.0,38,86.6,30,67.2,82=,
201-250,201-250,Anna University,India,49.3,101+,64.1,101+,81.7,101+,82.4,63=,85.7,8=,
201-250,201-250,Arizona State University,United States of America,55.3,101+,64.5,101+,92.6,42=,75.1,101+,52.0,101+,
201-250,251-300,Beihang University (former BUAA),China (Mainland),56.4,101+,53.9,101+,89.4,98=,82.6,59=,50.7,101+,
201-250,201-250,Beijing University of Chemical Technology,China (Mainland),67.1,101+,40.2,101+,90.0,83=,89.5,18=,59.7,101+,
201-250,251-300,Brown University,United States of America,56.6,101+,71.6,101+,79.7,101+,64.8,101+,30.4,101+,
201-250,201-250,Heriot-Watt University,United Kingdom,61.1,101+,63.2,101+,78.7,101+,64.8,101+,48.7,101+,
201-250,201-250,Indian Institute of Technology Guwahati (IITG),India,59.1,101+,60.8,101+,83.3,101+,74.3,101+,38.8,101+,
201-250,201-250,Iowa State University,United States of America,58.6,101+,59.9,101+,87.6,101+,76.0,101+,33.4,101+,
201-250,251-300,Jeonbuk National University,Republic of Korea,55.8,101+,56.2,101+,88.6,101+,79.1,99=,53.4,101+,
201-250,151-200,Loughborough University,United Kingdom,62.3,101+,64.5,101+,80.4,101+,67.8,101+,46.2,101+,
201-250,201-250,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russian Federation,55.6,101+,76.0,74=,70.7,101+,56.2,101+,47.6,101+,
201-250,201-250,National Research Tomsk Polytechnic University,Russian Federation,57.9,101+,63.3,101+,76.3,101+,63.9,101+,64.4,101+,
201-250,251-300,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,59.3,101+,63.2,101+,84.7,101+,70.4,101+,46.8,101+,
