2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,,Indian Institute of Science,India,44.7,51+,74.4,49=,85.0,51+,75.4,51+,,,
51-100,51-70,Indian Institute of Technology Delhi (IITD),India,41.4,51+,80.0,33,81.3,51+,73.4,51+,,,
51-100,,Indian Institute of Technology Kanpur (IITK),India,43.3,51+,76.9,41=,80.7,51+,72.4,51+,,,
51-100,=45,Indian Institute of Technology Madras (IITM),India,45.7,51+,81.7,25,78.5,51+,74.4,51+,,,
51-100,51-70,Indian Institute of Technology Roorkee (IITR),India,42.4,51+,70.3,51+,86.1,51+,79.6,51+,,,
51-100,,Johns Hopkins University,United States of America,42.9,51+,71.3,51+,82.4,51+,79.6,51+,,,
51-100,,KU Leuven,Belgium,48.3,51+,71.9,51+,91.9,30=,78.8,51+,,,
51-100,51-70,Middle East Technical University,Türkiye,50.0,51+,74.2,51+,87.0,51+,78.8,51+,,,
51-100,51-70,Missouri University of Science and Technology,United States of America,55.2,40=,62.0,51+,84.4,51+,76.7,51+,,,
51-100,51-70,Nanjing University,China (Mainland),50.9,51+,61.7,51+,94.4,13=,95.8,4,,,
51-100,,National Taiwan University (NTU),Taiwan,39.9,51+,75.9,43=,84.0,51+,82.7,46=,,,
51-100,33,Norwegian University of Science And Technology,Norway,60.9,24,59.4,51+,83.2,51+,85.7,33,,,
51-100,51-70,Politecnico di Milano,Italy,39.2,51+,82.2,24,87.6,51+,77.2,51+,,,
51-100,38,Politecnico di Torino,Italy,51.5,51+,73.3,51+,83.9,51+,78.0,51+,,,
51-100,,Pontificia Universidad Católica del Perú,Peru,60.5,26,90.6,8,52.2,51+,55.6,51+,,,
51-100,,Technical University of Denmark,Denmark,43.4,51+,74.4,49=,87.7,51+,82.4,49,,,
51-100,,Technical University of Munich,Germany,38.2,51+,85.6,15=,87.2,51+,77.2,51+,,,
51-100,,The Hong Kong Polytechnic University,"Hong Kong SAR, China",41.8,51+,69.4,51+,94.0,17,86.0,32,,,
51-100,29,"The University of Newcastle, Australia (UON)",Australia,53.3,47,65.1,51+,95.1,11=,83.3,43=,,,
51-100,,Tongji University,China (Mainland),55.0,42,61.8,51+,89.0,42,93.3,9,,,
51-100,51-70,Universidad de Concepción,Chile,45.3,51+,79.8,34=,85.1,51+,73.4,51+,,,
51-100,30,Universidad Nacional Autónoma de México (UNAM),Mexico,48.9,51+,77.0,39=,80.8,51+,82.0,50=,,,
