2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,Hanyang University,Republic of Korea,69.8,51+,68.6,51+,87.4,51+,81.1,51+,,,
51-100,51-100,Huazhong University of Science and Technology,China (Mainland),66.4,51+,72.0,51+,93.8,5=,90.1,14=,,,
51-100,101-150,Istanbul Technical University,Türkiye,64.2,51+,74.8,51+,75.7,51+,76.6,51+,,,
51-100,51-100,"KIT, Karlsruhe Institute of Technology",Germany,68.0,51+,62.6,51+,88.6,51+,80.7,51+,,,
51-100,51-100,Korea University,Republic of Korea,65.8,51+,73.6,51+,80.2,51+,63.2,51+,,,
51-100,37,KU Leuven,Belgium,68.9,51+,75.6,51+,85.9,51+,83.0,51+,,,
51-100,51-100,Kyoto University,Japan,71.9,43=,74.7,51+,73.9,51+,72.4,51+,,,
51-100,51-100,Loughborough University,United Kingdom,64.9,51+,56.7,51+,89.8,51+,79.0,51+,,,
51-100,51-100,McGill University,Canada,64.2,51+,75.9,51+,93.0,16,81.5,51+,,,
51-100,101-150,Nanjing University,China (Mainland),65.3,51+,71.8,51+,90.9,44=,83.0,51+,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,64.2,51+,76.0,51+,87.1,51+,75.1,51+,,,
51-100,101-150,New York University (NYU),United States of America,59.8,51+,77.2,48,87.1,51+,77.1,51+,,,
51-100,51-100,Newcastle University,United Kingdom,61.1,51+,69.6,51+,89.5,51+,82.6,51+,,,
51-100,51-100,Pennsylvania State University,United States of America,64.6,51+,64.9,51+,84.2,51+,78.5,51+,,,
51-100,=30,Pontificia Universidad Católica de Chile (UC),Chile,68.8,51+,88.1,17,78.6,51+,75.6,51+,,,
51-100,51-100,RWTH Aachen University,Germany,67.2,51+,64.0,51+,83.5,51+,81.5,51+,,,
51-100,51-100,Sapienza University of Rome,Italy,68.6,51+,71.8,51+,76.4,51+,78.0,51+,,,
51-100,101-150,South China University of Technology,China (Mainland),62.9,51+,56.7,51+,88.3,51+,87.1,29=,,,
51-100,51-100,Technische Universität Wien,Austria,67.3,51+,62.0,51+,80.5,51+,76.6,51+,,,
51-100,51-100,Tecnológico de Monterrey,Mexico,63.6,51+,88.3,15,72.7,51+,62.3,51+,,,
51-100,51-100,Texas A&M University,United States of America,67.5,51+,75.9,51+,87.3,51+,83.4,51+,,,
51-100,51-100,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",67.6,51+,72.8,51+,92.3,25=,81.5,51+,,,
51-100,51-100,The London School of Economics and Political Science (LSE),United Kingdom,65.5,51+,74.7,51+,81.7,51+,64.9,51+,,,
51-100,51-100,The University of Auckland,New Zealand,64.0,51+,75.8,51+,85.5,51+,79.8,51+,,,
51-100,51-100,The University of Edinburgh,United Kingdom,65.6,51+,78.3,42,87.2,51+,79.4,51+,,,
51-100,51-100,The University of Queensland,Australia,61.7,51+,75.3,51+,91.4,40,86.2,35=,,,
