2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,=35,Indian Institute of Technology Delhi (IITD),India,67.6,51+,80.7,21,76.8,51+,72.1,51+,,,
51-100,=36,Indian Institute of Technology Kanpur (IITK),India,61.3,51+,76.9,42=,78.0,51+,75.6,51+,,,
51-100,44,Indian Institute of Technology Kharagpur (IIT-KGP),India,60.0,51+,77.2,38,77.8,51+,74.1,51+,,,
51-100,,Indian Institute of Technology Madras (IITM),India,64.0,51+,79.7,25,76.3,51+,71.7,51+,,,
51-100,51-70,King Fahd University of Petroleum & Minerals,Saudi Arabia,55.7,51+,95.4,3,78.5,51+,67.4,51+,,,
51-100,51-70,KTH Royal Institute of Technology,Sweden,71.7,35,64.3,51+,82.1,51+,80.0,51+,,,
51-100,,KU Leuven,Belgium,57.3,51+,70.4,51+,84.9,51+,84.5,45,,,
51-100,51-70,Kyoto University,Japan,53.6,51+,70.8,51+,79.5,51+,75.9,51+,,,
51-100,51-70,Lancaster University,United Kingdom,63.6,51+,57.6,51+,87.5,45=,82.7,51+,,,
51-100,,Leiden University,Netherlands,60.4,51+,61.7,51+,83.2,51+,72.1,51+,,,
51-100,48,Macquarie University,Australia,57.2,51+,63.8,51+,89.0,35,83.1,51+,,,
51-100,51-70,Michigan State University,United States of America,54.9,51+,62.4,51+,87.7,42=,80.9,51+,,,
51-100,51-70,National Yang Ming Chiao Tung University,Taiwan,58.0,51+,66.3,51+,79.8,51+,75.6,51+,,,
51-100,,Northwestern University,United States of America,59.2,51+,78.4,30,85.6,51+,77.6,51+,,,
51-100,51-70,Pennsylvania State University,United States of America,62.4,51+,65.0,51+,83.8,51+,84.7,44,,,
51-100,,Pontificia Universidad Católica de Chile (UC),Chile,60.2,51+,72.1,51+,76.9,51+,61.8,51+,,,
51-100,,Purdue University,United States of America,65.3,51+,71.9,51+,81.0,51+,83.3,51+,,,
51-100,,Queen Mary University of London,United Kingdom,62.7,51+,67.2,51+,91.7,20,84.3,46,,,
51-100,,RWTH Aachen University,Germany,65.4,51+,70.1,51+,79.8,51+,77.1,51+,,,
51-100,=46,Sapienza University of Rome,Italy,71.5,36=,69.3,51+,79.9,51+,80.2,51+,,,
51-100,,Sungkyunkwan University (SKKU),Republic of Korea,61.1,51+,65.3,51+,79.7,51+,73.8,51+,,,
51-100,51-70,Taylor's University,Malaysia,59.0,51+,67.1,51+,94.3,10=,67.8,51+,,,
51-100,,Technion - Israel Institute of Technology,Israel,62.3,51+,59.3,51+,83.8,51+,80.0,51+,,,
51-100,,Tecnológico de Monterrey,Mexico,66.5,51+,80.8,20,75.0,51+,64.0,51+,,,
51-100,=49,The Australian National University,Australia,60.5,51+,76.5,46=,92.2,18,83.9,47=,,,
51-100,,The London School of Economics and Political Science (LSE),United Kingdom,66.2,51+,77.0,40=,77.2,51+,58.8,51+,,,
51-100,51-70,The University of New South Wales (UNSW Sydney),Australia,51.4,51+,75.2,50,87.5,45=,89.3,25,,,
51-100,43,The University of Sydney,Australia,55.3,51+,77.8,33=,94.4,9,94.2,13,,,
51-100,,The University of Warwick,United Kingdom,50.2,51+,69.1,51+,86.6,48=,81.6,51+,,,
51-100,=36,Tongji University,China (Mainland),70.4,40=,62.1,51+,84.1,51+,85.7,38,,,
51-100,,Universidad de Buenos Aires (UBA),Argentina,61.8,51+,73.3,51+,72.1,51+,60.7,51+,,,
51-100,,Universidad Politécnica de Madrid (UPM),Spain,59.5,51+,70.5,51+,78.4,51+,73.8,51+,,,
51-100,51-70,Universidade de São Paulo,Brazil,66.1,51+,76.5,46=,75.7,51+,77.6,51+,,,
51-100,,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,63.1,51+,58.2,51+,77.6,51+,78.2,51+,,,
51-100,,Université Paris-Saclay,France,63.6,51+,77.0,40=,79.3,51+,81.6,51+,,,
51-100,,Universiti Teknologi Malaysia,Malaysia,60.2,51+,60.7,51+,80.4,51+,78.7,51+,,,
51-100,51-70,University of Amsterdam,Netherlands,64.6,51+,70.6,51+,88.7,37,83.9,47=,,,
51-100,,University of Bristol,United Kingdom,60.9,51+,68.9,51+,85.3,51+,80.7,51+,,,
51-100,,University of Glasgow,United Kingdom,61.4,51+,63.8,51+,77.7,51+,72.8,51+,,,
51-100,33,"University of Maryland, College Park",United States of America,69.0,48,59.6,51+,89.8,29=,91.1,18=,,,
51-100,,University of Oslo,Norway,62.8,51+,53.9,51+,90.0,28,77.9,51+,,,
51-100,,University of Pisa,Italy,61.9,51+,59.9,51+,81.4,51+,75.9,51+,,,
51-100,,Vellore Institute of Technology (VIT),India,56.3,51+,66.2,51+,77.1,51+,82.0,51+,,,
51-100,51-70,Wuhan University,China (Mainland),59.8,51+,63.3,51+,88.5,38,92.9,15,,,
