2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Massachusetts Institute of Technology (MIT),United States of America,100.0,1,100.0,1,93.9,60=,92.3,15,72.2,37=,96.9
2,2,Stanford University,United States of America,94.8,2,96.2,3,95.1,41=,87.1,35=,61.8,126,92.6
3,4,University of Cambridge,United Kingdom,92.3,4,96.0,4=,95.4,37=,87.1,35=,73.8,30,92.2
4,12,"Nanyang Technological University, Singapore (NTU)",Singapore,91.5,5=,90.5,10,100.0,1,96.6,3=,61.1,131=,91.4
5,5,Harvard University,United States of America,88.6,15,99.1,2,99.0,6,84.2,64,60.7,133=,91.1
6,6,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,89.8,10,95.5,6,93.0,73,85.6,48=,69.7,54,90.4
7,13,Tsinghua University,China (Mainland),88.9,12,90.6,8=,93.2,71=,100.0,1,67.0,75=,90.2
8,=9,University of Oxford,United Kingdom,89.9,9,96.0,4=,90.5,122=,81.6,91,75.4,26,90.0
=9,11,Imperial College London,United Kingdom,90.7,7=,88.4,13,92.2,90=,87.1,35=,81.0,13=,89.3
=9,=7,National University of Singapore (NUS),Singapore,85.6,20,92.2,7,98.8,7=,93.8,9=,67.2,70=,89.3
11,=7,"University of California, Berkeley (UCB)",United States of America,91.5,5=,90.3,11=,95.3,39=,83.6,71=,59.6,142=,89.0
12,=9,Politecnico di Milano,Italy,88.8,13,90.3,11=,85.3,151+,85.6,48=,87.3,3,88.3
13,3,Delft University of Technology,Netherlands,87.9,17,87.9,14=,90.1,137=,89.7,23=,81.0,13=,88.1
14,15,University of Michigan-Ann Arbor,United States of America,93.4,3,82.7,27,91.1,110=,88.7,29,62.5,118,87.8
15,=21,Shanghai Jiao Tong University,China (Mainland),89.5,11,82.8,26,88.7,151+,94.8,8,68.6,61,87.0
16,18,EPFL,Switzerland,85.1,23,90.6,8=,91.3,106=,82.2,82=,68.5,62=,86.3
17,14,Georgia Institute of Technology,United States of America,88.0,16,83.2,24,92.8,77,91.0,21,53.6,151+,85.8
18,17,California Institute of Technology (Caltech),United States of America,90.7,7=,87.9,14=,82.3,151+,79.4,120=,54.9,151+,85.6
19,16,Purdue University,United States of America,85.5,21=,84.8,20,87.3,151+,85.4,52=,80.0,16,85.2
20,25,Peking University,China (Mainland),80.1,38=,87.0,16,98.1,10,93.6,11,53.2,151+,84.8
=21,=48,Seoul National University,Republic of Korea,85.5,21=,84.0,22,89.3,151+,84.0,65=,52.6,151+,83.7
=21,=21,The University of Tokyo,Japan,87.6,18,86.4,18,80.5,151+,78.6,127=,56.2,151+,83.7
23,19,RWTH Aachen University,Germany,88.7,14,78.7,47,84.4,151+,83.6,71=,69.8,52=,83.6
24,27,"University of California, Los Angeles (UCLA)",United States of America,80.3,37,86.8,17,95.0,43=,82.7,79,57.1,151+,83.2
=25,20,KTH Royal Institute of Technology,Sweden,86.1,19,77.2,63,90.0,142=,82.0,85=,78.4,18,83.0
=25,=21,Technical University of Munich,Germany,84.9,24=,83.6,23,83.9,151+,82.5,80=,62.7,112=,83.0
27,39,KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,84.9,24=,82.2,28,90.3,131=,85.0,54=,46.6,151+,82.9
28,=45,Zhejiang University,China (Mainland),79.4,42=,80.9,33,90.3,131=,93.5,12=,69.8,52=,82.5
29,24,The University of Manchester,United Kingdom,77.7,50=,79.9,42,94.6,48,85.8,46=,86.2,5,81.9
30,=28,Politecnico di Torino,Italy,81.5,31=,81.5,30,83.3,151+,81.8,87=,80.2,15,81.7
31,=30,KU Leuven,Belgium,81.4,33,76.7,67=,90.5,122=,80.6,99=,83.8,10,81.1
32,=34,Technical University of Denmark,Denmark,82.0,27,78.6,48,89.1,151+,80.4,106=,69.2,56=,81.0
=33,=28,Cranfield University,United Kingdom,81.5,31=,75.8,77=,92.4,83=,83.3,74=,65.3,89=,80.6
=33,=34,University of Texas at Austin,United States of America,79.4,42=,78.4,50=,91.3,106=,84.4,61=,66.2,81,80.6
35,33,University of Illinois at Urbana-Champaign,United States of America,81.8,28=,79.2,44=,86.1,151+,80.6,99=,63.1,109=,80.5
36,43,Harbin Institute of Technology,China (Mainland),84.0,26,66.2,151+,89.4,151+,95.5,7,69.4,55,80.0
37,=75,Xi’an Jiaotong University,China (Mainland),81.8,28=,68.9,151+,90.0,142=,93.5,12=,71.4,42=,79.9
38,32,University of Toronto,Canada,75.4,61,83.1,25,90.4,124=,82.0,85=,56.0,151+,79.4
=39,47,Northwestern University,United States of America,80.4,36,75.9,76,94.4,50,80.6,99=,49.5,151+,79.3
=39,=79,Pohang University of Science And Technology (POSTECH),Republic of Korea,81.1,34=,78.3,53=,92.9,74=,73.9,151+,50.3,151+,79.3
=39,=30,Texas A&M University,United States of America,78.4,46,76.1,74,85.5,151+,80.6,99=,87.0,4,79.3
42,42,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",77.8,49,76.7,67=,97.3,19=,84.6,60,46.1,151+,79.2
43,26,Pennsylvania State University,United States of America,79.5,41,73.3,94=,89.0,151+,85.6,48=,70.2,50,79.1
44,41,Princeton University,United States of America,81.1,34=,80.3,39,87.7,151+,73.6,151+,46.1,151+,79.0
45,37,"KIT, Karlsruhe Institute of Technology",Germany,79.3,44,75.8,77=,85.7,151+,80.8,97=,71.0,45,78.8
=46,=50,The University of New South Wales (UNSW Sydney),Australia,71.9,83=,78.4,50=,95.0,43=,87.7,32=,71.3,44,78.7
=46,=120,Yonsei University,Republic of Korea,79.6,40,74.4,87,92.9,74=,79.4,120=,60.2,140,78.7
48,=85,University of Science and Technology of China,China (Mainland),76.5,55=,70.0,135=,95.7,31=,93.8,9=,58.4,151+,78.2
=49,38,McGill University,Canada,75.9,58=,77.7,59,89.3,151+,79.9,112=,57.8,151+,77.7
=49,=73,The Hong Kong Polytechnic University,"Hong Kong SAR, China",77.9,47=,67.3,151+,97.2,21,91.3,19=,56.6,151+,77.7
=49,=59,The University of Hong Kong,"Hong Kong SAR, China",73.9,70=,79.2,44=,97.7,13=,82.2,82=,38.8,151+,77.7
52,67,The University of Sydney,Australia,73.7,73=,75.7,79,94.0,59,81.3,92=,69.1,58,77.6
=53,=65,Carnegie Mellon University,United States of America,74.3,67,77.9,56=,92.3,86=,77.8,142=,58.8,151+,77.3
=53,=59,Cornell University,United States of America,77.7,50=,76.4,70,89.5,151+,75.2,151+,53.4,151+,77.3
=53,36,Eindhoven University of Technology,Netherlands,78.9,45,71.6,116=,88.6,151+,78.3,134=,68.9,59=,77.3
56,40,Technische Universität Berlin (TU Berlin),Germany,80.1,38=,71.8,114=,86.0,151+,78.6,127=,61.6,127=,77.2
=57,=108,Huazhong University of Science and Technology,China (Mainland),77.1,52=,66.5,151+,91.5,99=,92.2,16,65.1,92,77.0
=57,=134,Korea University,Republic of Korea,75.9,58=,75.0,83,93.7,64=,79.9,112=,49.1,151+,77.0
=59,=59,The University of Melbourne,Australia,71.7,86=,77.5,61,95.7,31=,76.4,151+,67.0,75=,76.8
=59,=54,Tokyo Institute of Technology (Tokyo Tech),Japan,77.1,52=,80.6,36,80.9,151+,72.9,151+,50.9,151+,76.8
61,=50,Indian Institute of Technology Delhi (IITD),India,72.5,79=,81.3,31,82.9,151+,77.5,146=,63.2,107=,76.6
62,=89,Fudan University,China (Mainland),68.2,118=,77.9,56=,97.9,11,87.7,32=,50.1,151+,76.4
63,53,University of Nottingham,United Kingdom,74.7,63,69.2,149,91.5,99=,80.4,106=,84.4,9,76.3
=64,96,Beijing Institute of Technology,China (Mainland),73.9,70=,67.8,151+,90.8,118=,96.4,5,57.6,151+,76.2
=64,=65,University of British Columbia,Canada,71.8,85,79.7,43,88.6,151+,76.7,151+,58.7,151+,76.2
=66,44,Indian Institute of Technology Madras (IITM),India,74.6,64,79.1,46,80.4,151+,75.8,151+,60.7,133=,76.1
=66,=45,University of Bristol,United Kingdom,77.9,47=,71.6,116=,86.9,151+,76.9,151+,59.1,149,76.1
68,91,Beihang University (former BUAA),China (Mainland),81.7,30,56.7,151+,88.2,151+,95.6,6,64.0,103,75.9
=69,56,Chalmers University of Technology,Sweden,75.9,58=,68.7,151+,89.0,151+,80.1,110=,68.1,68,75.5
=69,57,Indian Institute of Technology Bombay (IITB),India,73.7,73=,84.4,21,80.5,151+,72.6,151+,32.0,151+,75.5
=69,=68,Universidade de São Paulo,Brazil,70.6,97=,80.4,38,82.2,151+,78.6,127=,60.7,133=,75.5
=69,=93,Yale University,United States of America,73.9,70=,86.1,19,80.9,151+,64.5,151+,37.8,151+,75.5
=73,=54,King Fahd University of Petroleum & Minerals,Saudi Arabia,64.0,151+,78.5,49,97.6,15=,86.2,42=,65.5,87=,75.4
=73,78,Kyoto University,Japan,74.0,69,77.6,60,84.2,151+,73.6,151+,56.2,151+,75.4
75,=97,National Taiwan University (NTU),Taiwan,76.1,57,78.4,50=,86.4,151+,72.2,151+,31.1,151+,75.3
=76,=63,Sapienza University of Rome,Italy,73.7,73=,73.3,94=,82.3,151+,79.6,117=,70.7,46=,75.2
=76,=50,Université Paris-Saclay,France,67.6,125=,80.1,40,82.4,151+,79.6,117=,78.3,19,75.2
=78,=103,UCL,United Kingdom,69.1,108=,75.2,82,91.3,106=,78.6,127=,72.0,39,75.0
=78,=79,"University of California, San Diego (UCSD)",United States of America,71.6,89=,74.2,88,93.6,66=,77.8,142=,52.7,151+,75.0
80,=63,Monash University,Australia,67.9,121=,74.7,84=,95.0,43=,82.9,77=,62.7,112=,74.9
81,72,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,71.7,86=,70.8,125=,85.0,151+,78.6,127=,85.0,8,74.6
=82,=48,Universität Stuttgart,Germany,76.7,54,70.4,131,79.9,151+,76.9,151+,62.3,120=,74.5
=82,=85,University of Birmingham,United Kingdom,71.1,94=,70.3,132=,91.8,94=,78.8,124=,73.3,31,74.5
=84,=123,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",72.5,79=,72.9,100=,96.1,26=,79.9,112=,30.0,151+,74.4
=84,=85,University of Pennsylvania,United States of America,72.5,79=,74.7,84=,93.6,66=,74.2,151+,40.1,151+,74.4
