2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
54,=53,Alma Mater Studiorum - University of Bologna,Italy,63.9,57=,72.4,57,83.2,101+,79.5,85=,64.3,59=,70.0
55,65,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,62.6,68,63.2,101+,85.0,101+,76.7,101+,80.2,13,69.9
=56,=45,Colorado State University,United States of America,60.0,86=,80.5,25,87.2,52=,83.8,43=,58.0,101+,69.5
=56,66,Universiti Putra Malaysia (UPM),Malaysia,62.8,65=,74.1,45,82.0,101+,81.4,67=,61.4,79,69.5
58,=61,The University of Edinburgh,United Kingdom,58.7,101+,77.2,35,86.8,68=,78.0,96,75.6,19,69.4
59,51,Washington State University,United States of America,63.9,57=,53.3,101+,86.0,81=,81.8,60=,65.2,52=,69.0
=60,=72,Jiangnan University,China (Mainland),64.7,53=,50.2,101+,89.2,23=,91.4,10,43.2,101+,68.8
=60,=53,Kasetsart University,Thailand,68.0,41,71.5,64=,76.4,101+,72.6,101+,52.7,101+,68.8
62,=59,University of Nottingham,United Kingdom,61.0,79,67.6,93=,89.2,23=,80.0,77=,60.8,89=,68.7
63,74,Yale University,United States of America,60.0,86=,82.5,18,88.3,37=,76.7,101+,55.1,101+,68.5
64,=59,University College Dublin,Ireland,62.1,72=,55.8,101+,89.7,19,82.0,56=,58.9,101+,68.3
65,57,Peking University,China (Mainland),60.2,84=,79.7,28,88.5,33=,85.4,32=,38.8,101+,68.0
66,64,Czech University of Life Sciences in Prague,Czechia,60.8,81,62.3,101+,78.6,101+,75.7,101+,80.6,11,67.8
67,=61,Massey University,New Zealand,62.0,74,78.5,32,81.6,101+,73.4,101+,55.8,101+,67.7
68,=70,The University of Adelaide,Australia,61.4,76,62.3,101+,83.9,101+,80.2,75=,56.1,101+,67.2
69,=70,University of Alberta,Canada,59.6,90=,73.4,51,83.9,101+,81.6,63=,50.1,101+,67.0
70,101-150,Korea University,Republic of Korea,68.2,39=,60.3,101+,85.9,83=,70.1,101+,33.7,101+,66.9
=71,=67,Università di Padova,Italy,59.0,99,65.6,101+,83.8,101+,80.0,77=,60.3,93=,66.7
=71,=82,University of Naples - Federico II,Italy,56.6,101+,54.8,101+,87.1,54=,84.4,39,71.9,28=,66.7
=73,=77,Hokkaido University,Japan,65.2,51,63.9,101+,74.6,101+,67.7,101+,62.2,74=,66.6
=73,,Shanghai Jiao Tong University,China (Mainland),57.5,101+,80.6,24,85.9,83=,81.4,67=,47.3,101+,66.6
75,,Université de Montpellier,France,52.4,101+,40.8,101+,84.1,101+,90.9,12,100.0,1,66.5
=76,101-150,King Abdulaziz University (KAU),Saudi Arabia,55.8,101+,65.7,101+,97.6,1,77.8,97=,56.4,101+,66.4
=76,=85,University of Toronto,Canada,56.6,101+,78.1,33,84.5,101+,80.4,73=,55.6,101+,66.4
78,89,"University of Missouri, Columbia",United States of America,63.9,57=,43.8,101+,86.6,73,80.9,71=,48.5,101+,66.3
=79,63,McGill University,Canada,56.5,101+,65.6,101+,89.1,26=,84.6,36=,53.1,101+,66.2
=79,=85,Universidad Politécnica de Madrid (UPM),Spain,59.7,89,67.9,88=,86.8,68=,73.7,101+,54.5,101+,66.2
81,76,National Taiwan University (NTU),Taiwan,65.0,52,61.4,101+,81.3,101+,73.1,101+,41.3,101+,65.9
=82,101-150,Shangdong Agricultural University,China (Mainland),62.8,65=,60.5,101+,85.1,101+,83.8,43=,30.6,101+,65.8
=82,=85,University of Leeds,United Kingdom,55.9,101+,62.3,101+,91.2,11,79.7,81=,60.2,95,65.8
=84,90,King Saud University,Saudi Arabia,50.0,101+,58.0,101+,91.7,7=,90.2,13,75.7,18,65.7
=84,=67,University College Cork,Ireland,62.1,72=,52.6,101+,91.7,7=,79.7,81=,37.1,101+,65.7
=84,81,"University of Maryland, College Park",United States of America,57.7,101+,49.9,101+,91.7,7=,84.2,40,54.8,101+,65.7
=87,=94,University of Florence,Italy,57.7,101+,59.5,101+,83.7,101+,77.3,100=,62.6,72,65.2
=87,88,University of Saskatchewan,Canada,59.6,90=,54.9,101+,85.2,101+,79.5,85=,52.0,101+,65.2
=89,=82,Duke University,United States of America,55.7,101+,67.1,100=,85.5,94=,76.2,101+,61.6,77=,65.0
=89,101-150,Université catholique de Louvain (UCLouvain),Belgium,56.2,101+,63.1,101+,89.8,17=,70.7,101+,65.0,54=,65.0
=89,84,"University of California, Riverside",United States of America,61.3,77,47.3,101+,86.4,74=,76.7,101+,51.2,101+,65.0
92,=72,Lund University,Sweden,60.7,82,45.0,101+,83.5,101+,75.4,101+,61.7,76,64.9
=93,=45,Estonian University of Life Sciences,Estonia,64.7,53=,54.3,101+,79.9,101+,62.1,101+,56.7,101+,64.8
=93,=77,Stellenbosch University,South Africa,58.8,100,48.9,101+,82.0,101+,78.5,93=,64.4,57=,64.8
=93,=98,Université Laval,Canada,59.5,93=,70.1,75,82.0,101+,72.9,101+,47.6,101+,64.8
=96,=94,Albert-Ludwigs-Universitaet Freiburg,Germany,59.1,97=,52.7,101+,88.1,39,76.7,101+,51.3,101+,64.7
=96,101-150,University of Milan,Italy,53.6,101+,66.1,101+,85.0,101+,79.5,85=,66.6,45,64.7
98,75,Virginia Polytechnic Institute and State University,United States of America,63.4,62,36.9,101+,80.9,101+,75.9,101+,55.5,101+,64.5
=99,101-150,Harper Adams University,United Kingdom,61.8,75,94.8,2,69.1,101+,57.1,101+,48.9,101+,64.2
=99,=91,The University of Arizona,United States of America,55.4,101+,56.7,101+,84.7,101+,79.3,90,62.7,70=,64.2
101-150,151-200,Bangor University,United Kingdom,51.8,101+,62.8,101+,87.9,41=,69.1,101+,53.0,101+,
101-150,101-150,Beijing Forestry University,China (Mainland),65.7,46=,26.6,101+,78.6,101+,79.0,91,42.9,101+,
101-150,151-200,Cairo University,Egypt,50.5,101+,64.0,101+,78.7,101+,74.6,101+,56.2,101+,
101-150,101-150,Chiang Mai University,Thailand,56.4,101+,65.4,101+,80.7,101+,72.6,101+,51.2,101+,
101-150,101-150,Christian-Albrechts-University zu Kiel,Germany,55.3,101+,54.5,101+,81.5,101+,67.7,101+,58.5,101+,
101-150,=98,Humboldt-Universität zu Berlin,Germany,55.8,101+,61.7,101+,86.9,64=,73.4,101+,60.1,96,
101-150,151-200,Hungarian University of Agriculture and Life Sciences,Hungary,56.5,101+,58.5,101+,75.0,101+,64.1,101+,61.3,80=,
101-150,=100,James Cook University,Australia,53.6,101+,51.3,101+,85.1,101+,75.9,101+,61.0,86=,
101-150,101-150,Justus-Liebig-University Giessen,Germany,56.3,101+,32.0,101+,80.5,101+,68.4,101+,69.1,32,
101-150,151-200,Kyung Hee University,Republic of Korea,63.0,64,48.8,101+,85.3,99=,71.6,101+,24.4,101+,
101-150,151-200,Kyungpook National University,Republic of Korea,60.0,86=,48.4,101+,82.8,101+,74.3,101+,31.7,101+,
101-150,=94,Lincoln University,New Zealand,55.6,101+,72.6,55=,87.9,41=,76.2,101+,43.7,101+,
101-150,101-150,Martin-Luther-Universität Halle-Wittenberg,Germany,49.5,101+,46.9,101+,92.2,4,86.8,24=,67.0,42=,
101-150,101-150,Monash University,Australia,49.8,101+,71.5,64=,85.7,87=,76.5,101+,46.2,101+,
101-150,151-200,Murdoch University,Australia,53.3,101+,57.4,101+,85.1,101+,73.4,101+,61.1,84=,
101-150,101-150,Newcastle University,United Kingdom,54.4,101+,73.0,54,86.3,77=,69.8,101+,56.2,101+,
101-150,101-150,Oklahoma State University,United States of America,53.1,101+,76.0,38,79.5,101+,69.1,101+,50.6,101+,
101-150,=77,Pontificia Universidad Católica de Chile (UC),Chile,57.7,101+,85.7,13,78.8,101+,66.0,101+,40.6,101+,
101-150,101-150,Poznan University of Life Sciences,Poland,58.5,101+,46.7,101+,81.7,101+,72.9,101+,56.0,101+,
101-150,101-150,RMIT University,Australia,55.5,101+,53.6,101+,87.5,47=,70.7,101+,49.1,101+,
101-150,101-150,Rutgers University–New Brunswick,United States of America,54.6,101+,53.7,101+,89.3,21=,82.5,54,54.3,101+,
101-150,151-200,Slovak University of Agriculture in Nitra,Slovakia,61.1,78,43.7,101+,77.7,101+,66.3,101+,54.3,101+,
101-150,101-150,South China University of Technology,China (Mainland),50.7,101+,42.2,101+,93.3,3,89.1,18,46.3,101+,
101-150,151-200,Texas Tech University,United States of America,59.6,90=,34.9,101+,82.9,101+,70.4,101+,60.8,89=,
101-150,101-150,Tohoku University,Japan,58.4,101+,53.0,101+,78.2,101+,64.8,101+,44.5,101+,
101-150,=91,UNESP,Brazil,56.2,101+,72.6,55=,73.5,101+,78.8,92,47.3,101+,
101-150,=91,Universidad de Buenos Aires (UBA),Argentina,57.2,101+,85.9,12,75.6,101+,69.8,101+,39.4,101+,
101-150,=100,Universidad de Chile,Chile,56.1,101+,71.9,60,76.8,101+,68.1,101+,37.1,101+,
101-150,101-150,Universidad de Córdoba - España,Spain,58.0,101+,59.1,101+,80.3,101+,68.4,101+,60.0,97=,
101-150,=77,Universidade Federal de Viçosa (UFV),Brazil,60.4,83,67.3,97,75.1,101+,77.0,101+,43.8,101+,
101-150,201-250,Università degli Studi di Perugia,Italy,55.7,101+,40.5,101+,88.0,40,73.7,101+,51.5,101+,
101-150,101-150,Università Cattolica del Sacro Cuore,Italy,50.1,101+,64.0,101+,90.3,15,74.9,101+,43.0,101+,
101-150,101-150,Universitat de Barcelona,Spain,49.7,101+,58.2,101+,83.3,101+,75.9,101+,62.7,70=,
101-150,101-150,Université de Liège,Belgium,47.0,101+,60.7,101+,81.8,101+,74.0,101+,73.8,22,
101-150,,Université PSL,France,42.4,101+,61.8,101+,82.1,101+,84.0,41=,84.2,7,
101-150,151-200,Universiti Malaya (UM),Malaysia,53.4,101+,69.2,82=,81.0,101+,67.4,101+,47.1,101+,
101-150,,University of Bari,Italy,50.6,101+,57.4,101+,82.6,101+,71.6,101+,61.1,84=,
101-150,151-200,University of Bordeaux,France,52.5,101+,47.8,101+,86.7,72,75.7,101+,57.6,101+,
101-150,101-150,University of Cape Town,South Africa,54.6,101+,48.5,101+,78.6,101+,67.4,101+,64.3,59=,
101-150,101-150,University of Kentucky,United States of America,56.1,101+,40.5,101+,84.6,101+,76.7,101+,57.2,101+,
101-150,101-150,University of Lisbon,Portugal,50.2,101+,44.8,101+,81.7,101+,80.2,75=,66.0,48,
101-150,101-150,University of Manitoba,Canada,53.2,101+,60.5,101+,84.3,101+,72.9,101+,53.1,101+,
101-150,101-150,University of Michigan-Ann Arbor,United States of America,54.8,101+,66.5,101+,83.0,101+,76.2,101+,59.7,101+,
101-150,101-150,University of Pisa,Italy,55.4,101+,58.1,101+,82.4,101+,75.4,101+,65.3,51,
101-150,101-150,University of Porto,Portugal,50.3,101+,35.1,101+,85.4,97=,83.5,49,78.3,15,
101-150,101-150,University of Pretoria,South Africa,48.3,101+,53.6,101+,81.6,101+,79.5,85=,73.3,23,
101-150,101-150,University of Tasmania,Australia,50.2,101+,59.4,101+,87.8,44,81.6,63=,63.3,65,
101-150,151-200,University of Tehran,Iran (Islamic Republic of),53.7,101+,30.0,101+,83.6,101+,81.6,63=,56.6,101+,
101-150,101-150,University of Tsukuba,Japan,60.9,80,54.0,101+,80.0,101+,67.4,101+,48.5,101+,
101-150,101-150,University of Turin,Italy,50.1,101+,61.1,101+,84.9,101+,79.7,81=,63.7,63=,
101-150,101-150,University of Zagreb,Croatia,55.9,101+,50.8,101+,80.1,101+,75.4,101+,68.3,35=,
151-200,,Alexandria University,Egypt,44.5,101+,63.3,101+,84.4,101+,74.3,101+,59.2,101+,
151-200,101-150,Aristotle University of Thessaloniki,Greece,49.8,101+,51.3,101+,81.7,101+,70.1,101+,55.4,101+,
151-200,151-200,Arizona State University,United States of America,46.8,101+,67.7,91=,83.5,101+,73.1,101+,57.8,101+,
151-200,251-300,Chonnam National University,Republic of Korea,55.6,101+,46.7,101+,80.2,101+,69.1,101+,32.2,101+,
151-200,201-250,Chungnam National University,Republic of Korea,56.8,101+,50.5,101+,74.9,101+,64.8,101+,38.6,101+,
151-200,151-200,Complutense University of Madrid,Spain,49.3,101+,49.7,101+,78.8,101+,68.8,101+,61.0,86=,
151-200,,Cukurova University,Türkiye,46.7,101+,67.9,88=,77.7,101+,64.8,101+,60.5,92,
151-200,201-250,Curtin University,Australia,46.9,101+,64.6,101+,86.8,68=,72.0,101+,49.1,101+,
151-200,151-200,Dalhousie University,Canada,42.1,101+,71.5,64=,85.0,101+,76.5,101+,55.5,101+,
151-200,151-200,Gadjah Mada University,Indonesia,62.5,69,69.2,82=,61.5,101+,48.9,101+,38.8,101+,
151-200,151-200,Indian Institute of Technology Kharagpur (IIT-KGP),India,52.9,101+,71.8,61=,86.0,81=,69.8,101+,30.4,101+,
151-200,101-150,Instituto Politécnico Nacional (IPN),Mexico,52.2,101+,61.7,101+,74.2,101+,70.1,101+,37.5,101+,
151-200,151-200,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,46.2,101+,46.6,101+,91.4,10,74.9,101+,48.7,101+,
151-200,201-250,Konkuk University,Republic of Korea,57.1,101+,41.9,101+,87.1,54=,72.0,101+,30.7,101+,
151-200,101-150,Lomonosov Moscow State University,Russian Federation,53.2,101+,79.0,31,59.8,101+,56.2,101+,64.0,62,
151-200,201-250,Mendel University in Brno,Czechia,51.6,101+,50.5,101+,75.5,101+,66.3,101+,54.3,101+,
151-200,151-200,Nagoya University,Japan,59.5,93=,51.0,101+,79.2,101+,64.1,101+,36.0,101+,
151-200,101-150,National Chung Hsing University,Taiwan,56.7,101+,59.0,101+,78.2,101+,64.1,101+,36.0,101+,
151-200,151-200,Prince of Songkla University,Thailand,50.0,101+,58.4,101+,80.8,101+,68.4,101+,50.3,101+,
151-200,101-150,RUDN University,Russian Federation,50.9,101+,74.0,46,78.8,101+,67.4,101+,32.7,101+,
151-200,151-200,Sapienza University of Rome,Italy,46.7,101+,67.4,96,80.7,101+,72.9,101+,62.4,73,
151-200,,Technische Universität Dresden,Germany,53.6,101+,45.7,101+,79.8,101+,63.3,101+,60.0,97=,
151-200,101-150,Tecnológico de Monterrey,Mexico,52.1,101+,71.3,67,79.1,101+,63.3,101+,31.2,101+,
