2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,University of Oxford,United Kingdom,98.2,2,100.0,1,90.6,45=,97.8,2,,,97.2
2,2,The London School of Economics and Political Science (LSE),United Kingdom,100.0,1,87.7,4,92.4,21,91.4,18=,,,96.3
3,3,University of Cambridge,United Kingdom,97.2,3,99.1,2,89.9,51+,96.4,3=,,,96.2
4,7,UCL,United Kingdom,92.8,6,87.5,5,90.9,38=,100.0,1,,,93.1
5,5,"University of California, Berkeley (UCB)",United States of America,93.0,5,88.4,3,96.8,3=,91.9,16=,,,92.9
6,6,National University of Singapore (NUS),Singapore,93.3,4,87.0,7,89.0,51+,92.7,10=,,,91.9
7,10,"University of California, Los Angeles (UCLA)",United States of America,89.3,8,82.0,24,91.8,28=,88.8,28=,,,88.9
8,12,University of Amsterdam,Netherlands,89.0,9,78.3,46,90.9,38=,92.3,13=,,,88.7
9,25,Peking University,China (Mainland),88.2,11,83.3,17,89.9,51+,91.0,20=,,,88.4
10,=14,The University of Hong Kong,"Hong Kong SAR, China",90.1,7,75.9,51+,90.4,50=,86.5,45=,,,88.2
11,16,Durham University,United Kingdom,87.1,12=,82.3,22,94.6,8,89.3,26=,,,88.1
12,9,University of British Columbia,Canada,86.2,15,83.6,15=,91.2,34=,92.7,10=,,,87.7
13,13,University of Toronto,Canada,84.8,19,85.0,10,87.7,51+,91.9,16=,,,86.3
14,24,King's College London,United Kingdom,84.5,20,81.5,26=,92.2,23=,89.3,26=,,,86.1
15,45,Tsinghua University,China (Mainland),84.9,17=,82.5,20=,90.8,41=,87.4,35=,,,85.9
16,18,The University of Tokyo,Japan,88.8,10,87.2,6,84.3,51+,73.7,51+,,,85.7
17,20,The University of Melbourne,Australia,83.6,23=,85.7,9,85.7,51+,93.1,7=,,,85.6
18,19,The University of Manchester,United Kingdom,82.2,27,83.7,13=,91.7,30,93.8,6,,,85.5
19,31,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",85.9,16,74.3,51+,90.6,45=,84.4,51+,,,85.2
20,11,The Australian National University,Australia,83.6,23=,83.0,18,87.4,51+,87.0,39=,,,84.6
21,=22,The University of Edinburgh,United Kingdom,84.0,22,85.9,8,85.5,51+,84.4,51+,,,84.5
22,=22,Utrecht University,Netherlands,81.9,28=,76.0,51+,91.2,34=,92.3,13=,,,84.3
=23,=14,Humboldt-Universität zu Berlin,Germany,83.2,25,78.9,41=,88.9,51+,83.9,51+,,,83.7
=23,=29,University of Leeds,United Kingdom,79.7,38,79.3,39,93.9,10,92.3,13=,,,83.7
25,21,The University of Sydney,Australia,81.9,28=,81.2,29,89.4,51+,86.0,47=,,,83.6
26,28,Leiden University,Netherlands,87.1,12=,70.3,51+,87.0,51+,72.1,51+,,,83.2
27,47,University of Bristol,United Kingdom,81.9,28=,79.0,40,87.6,51+,83.9,51+,,,82.8
28,=29,Lund University,Sweden,77.9,46=,63.1,51+,98.6,2,96.4,3=,,,82.3
=29,27,University of Chicago,United States of America,84.9,17=,78.7,43=,78.6,51+,74.5,51+,,,81.8
=29,=37,University of Copenhagen,Denmark,79.9,36=,74.1,51+,92.7,18=,83.4,51+,,,81.8
31,=35,KU Leuven,Belgium,78.4,44,77.2,50,88.4,51+,89.7,25,,,81.5
32,51-100,Beijing Normal University,China (Mainland),81.6,31,60.2,51+,88.1,51+,87.9,33=,,,81.4
33,32,Freie Universitaet Berlin,Germany,84.4,21,73.0,51+,83.3,51+,72.1,51+,,,81.3
=34,51-100,Nanjing University,China (Mainland),80.8,34,68.6,51+,86.9,51+,83.4,51+,,,80.9
=34,33,Université Paris 1 Panthéon-Sorbonne,France,87.1,12=,77.3,48=,70.9,51+,68.7,51+,,,80.9
36,=40,Newcastle University,United Kingdom,75.0,51+,76.2,51+,95.0,5=,92.7,10=,,,80.8
=37,51-100,Fudan University,China (Mainland),79.3,40=,80.2,34,87.9,51+,78.6,51+,,,80.6
=37,51-100,The Hong Kong Polytechnic University,"Hong Kong SAR, China",78.8,43,66.2,51+,92.0,27,86.0,47=,,,80.6
39,51-100,The University of Sheffield,United Kingdom,75.7,51+,72.5,51+,92.2,23=,91.0,20=,,,80.2
40,=37,The University of Exeter,United Kingdom,75.9,51+,75.7,51+,92.6,20,87.4,35=,,,80.1
=41,=35,New York University (NYU),United States of America,78.1,45,84.7,12,87.0,51+,77.3,51+,,,80.0
=41,26,University of Michigan-Ann Arbor,United States of America,76.4,51+,75.1,51+,90.5,49,87.0,39=,,,80.0
43,51-100,Alma Mater Studiorum - University of Bologna,Italy,80.5,35,74.1,51+,80.8,51+,80.5,51+,,,79.9
44,=48,"Nanyang Technological University, Singapore (NTU)",Singapore,77.5,49=,82.6,19,89.6,51+,77.3,51+,,,79.8
45,51-100,Wuhan University,China (Mainland),77.9,46=,68.5,51+,84.9,51+,88.4,30=,,,79.6
46,=40,Stockholm University,Sweden,75.3,51+,51.9,51+,96.8,3=,96.4,3=,,,79.4
47,51-100,University of Vienna,Austria,77.6,48,68.5,51+,89.4,51+,83.4,51+,,,79.3
48,51-100,Seoul National University,Republic of Korea,79.9,36=,81.5,26=,81.2,51+,72.9,51+,,,79.2
=49,39,Cornell University,United States of America,73.4,51+,83.7,13=,88.9,51+,88.4,30=,,,79.0
=49,44,University of Wisconsin-Madison,United States of America,76.6,51+,65.0,51+,89.7,51+,87.4,35=,,,79.0
51-100,51-100,Arizona State University,United States of America,67.6,51+,75.4,51+,90.7,43=,90.2,24,,,
51-100,51-100,Cardiff University,United Kingdom,71.2,51+,65.9,51+,89.0,51+,87.0,39=,,,
51-100,101-150,Korea University,Republic of Korea,74.3,51+,76.4,51+,77.6,51+,63.8,51+,,,
51-100,34,Kyoto University,Japan,80.9,32=,81.0,30,76.8,51+,68.7,51+,,,
51-100,43,McGill University,Canada,71.2,51+,82.1,23,93.5,13=,86.0,47=,,,
51-100,51-100,Monash University,Australia,69.7,51+,74.0,51+,89.9,51+,83.4,51+,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,79.4,39,76.5,51+,83.2,51+,67.8,51+,,,
51-100,51-100,Pennsylvania State University,United States of America,75.6,51+,76.7,51+,85.0,51+,84.4,51+,,,
51-100,=48,Pontificia Universidad Católica de Chile (UC),Chile,75.0,51+,81.9,25,78.1,51+,69.6,51+,,,
51-100,51-100,Renmin (People's) University of China,China (Mainland),74.9,51+,71.4,51+,83.4,51+,75.9,51+,,,
51-100,101-150,RMIT University,Australia,66.6,51+,66.7,51+,90.3,51+,87.9,33=,,,
51-100,,Royal Holloway University of London,United Kingdom,74.3,51+,61.8,51+,82.2,51+,76.6,51+,,,
51-100,101-150,Sapienza University of Rome,Italy,69.1,51+,72.3,51+,83.3,51+,81.7,51+,,,
51-100,101-150,Shanghai Jiao Tong University,China (Mainland),72.9,51+,77.5,47,93.7,11=,81.7,51+,,,
51-100,50,SOAS University of London,United Kingdom,82.8,26,69.6,51+,80.1,51+,65.9,51+,,,
51-100,101-150,Sun Yat-sen University,China (Mainland),72.0,51+,66.6,51+,86.7,51+,87.0,39=,,,
51-100,151-200,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",73.6,51+,71.8,51+,85.5,51+,71.3,51+,,,
51-100,101-150,The Ohio State University,United States of America,67.9,51+,78.4,45,85.1,51+,85.5,51+,,,
51-100,51-100,The University of Auckland,New Zealand,74.5,51+,80.5,31,88.5,51+,78.6,51+,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,65.2,51+,82.5,20=,90.6,45=,88.4,30=,,,
51-100,51-100,The University of Queensland,Australia,73.5,51+,79.7,37,89.8,51+,87.4,35=,,,
51-100,51-100,"Trinity College Dublin, The University of Dublin",Ireland,71.3,51+,80.0,35=,85.2,51+,73.7,51+,,,
