2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
101-150,101-150,"University of Rome ""Tor Vergata""",Italy,52.1,51+,44.6,51+,94.4,8,85.4,51+,,,
101-150,151-200,University of Southern Denmark (SDU),Denmark,59.1,51+,57.1,51+,82.9,51+,80.4,51+,,,
101-150,51-100,University of Surrey,United Kingdom,61.9,51+,63.7,51+,85.2,51+,76.8,51+,,,
101-150,101-150,University of Tasmania,Australia,53.4,51+,48.4,51+,91.0,17=,85.4,51+,,,
101-150,101-150,University of Utah,United States of America,62.8,51+,64.5,51+,81.8,51+,80.4,51+,,,
101-150,101-150,University of Wisconsin-Madison,United States of America,57.3,51+,65.3,51+,84.6,51+,84.6,51+,,,
101-150,101-150,University of Zurich,Switzerland,62.3,51+,68.3,51+,84.1,51+,76.2,51+,,,
151-225,,Airlangga University,Indonesia,63.0,51+,66.9,51+,73.3,51+,67.9,51+,,,
151-225,101-150,Alma Mater Studiorum - University of Bologna,Italy,47.1,51+,61.6,51+,89.6,27=,78.4,51+,,,
151-225,151-200,American University of Beirut (AUB),Lebanon,58.5,51+,87.9,15,78.1,51+,72.0,51+,,,
151-225,151-200,Arizona State University,United States of America,39.0,51+,64.8,51+,85.0,51+,78.9,51+,,,
151-225,,Cairo University,Egypt,62.3,51+,86.2,19,73.0,51+,63.1,51+,,,
151-225,151-200,Central Queensland University (CQUniversity Australia),Australia,52.1,51+,52.9,51+,87.9,51+,77.9,51+,,,
151-225,151-200,Chang Gung University,Taiwan,44.5,51+,66.4,51+,85.3,51+,78.9,51+,,,
151-225,,Chulalongkorn University,Thailand,55.6,51+,69.7,51+,75.1,51+,69.3,51+,,,
151-225,151-200,"City, University of London",United Kingdom,65.1,51+,57.3,51+,77.9,51+,70.7,51+,,,
151-225,,Complutense University of Madrid,Spain,59.8,51+,70.1,51+,81.7,51+,72.0,51+,,,
151-225,151-200,Dalhousie University,Canada,55.0,51+,46.1,51+,85.9,51+,76.8,51+,,,
151-225,,Dokuz Eylül Üniversitesi,Türkiye,55.9,51+,45.1,51+,79.3,51+,74.5,51+,,,
151-225,,Dublin City University,Ireland,64.6,51+,65.4,51+,72.8,51+,72.0,51+,,,
151-225,,EGE UNIVERSITY,Türkiye,60.3,51+,57.1,51+,75.5,51+,68.6,51+,,,
151-225,151-200,Georgetown University,United States of America,58.7,51+,64.0,51+,78.9,51+,72.0,51+,,,
151-225,,Iran University of Medical Sciences (IUMS),Iran (Islamic Republic of),51.5,51+,40.5,51+,78.7,51+,80.9,51+,,,
151-225,151-200,Kent State University,United States of America,46.4,51+,62.3,51+,82.8,51+,78.9,51+,,,
151-225,101-150,Massey University,New Zealand,49.1,51+,63.4,51+,86.0,51+,79.4,51+,,,
151-225,151-200,Norwegian University of Science And Technology,Norway,56.7,51+,41.4,51+,85.3,51+,77.3,51+,,,
151-225,101-150,Oregon Health & Science University (OHSU),United States of America,65.2,51+,0.0,51+,85.5,51+,84.6,51+,,,
151-225,151-200,Oxford Brookes University,United Kingdom,53.2,51+,81.7,29=,77.2,51+,73.3,51+,,,
151-225,,Pontificia Universidad Católica de Chile (UC),Chile,75.3,39=,94.6,4,66.9,51+,56.5,51+,,,
151-225,,Purdue University,United States of America,43.6,51+,67.0,51+,84.7,51+,78.4,51+,,,
151-225,,RMIT University,Australia,59.7,51+,61.1,51+,76.0,51+,71.4,51+,,,
151-225,151-200,Royal College of Surgeons in Ireland (RCSI),Ireland,58.6,51+,71.3,51+,76.8,51+,70.0,51+,,,
151-225,,Rush University,United States of America,67.4,51+,46.9,51+,75.3,51+,70.7,51+,,,
151-225,,Shandong University,China (Mainland),41.9,51+,52.4,51+,86.9,51+,80.4,51+,,,
151-225,151-200,St. Louis University,United States of America,57.2,51+,49.6,51+,83.0,51+,74.5,51+,,,
151-225,151-200,Swansea University,United Kingdom,51.7,51+,67.9,51+,78.0,51+,71.4,51+,,,
151-225,,Tehran University of Medical Sciences,Iran (Islamic Republic of),38.9,51+,30.3,51+,82.3,51+,91.9,15=,,,
151-225,,Tel Aviv University,Israel,48.6,51+,23.9,51+,88.3,44=,78.4,51+,,,
151-225,151-200,Temple University,United States of America,50.5,51+,76.9,46,78.4,51+,68.6,51+,,,
151-225,,The University of Alabama,United States of America,61.3,51+,57.3,51+,81.5,51+,72.0,51+,,,
151-225,101-150,The University of Texas Health Science Center at Houston,United States of America,61.8,51+,24.6,51+,81.5,51+,78.4,51+,,,
151-225,151-200,Universidad de Chile,Chile,65.0,51+,82.1,28,79.8,51+,62.3,51+,,,
151-225,,Universidad de Sevilla,Spain,52.7,51+,54.5,51+,83.0,51+,75.1,51+,,,
151-225,,Universidad Nacional Autónoma de México (UNAM),Mexico,70.5,51+,93.7,6,66.9,51+,56.5,51+,,,
151-225,151-200,Universidade Federal de Minas Gerais (UFMG),Brazil,57.6,51+,58.8,51+,78.7,51+,74.5,51+,,,
151-225,151-200,Universidade Federal de Santa Catarina,Brazil,63.9,51+,65.2,51+,76.8,51+,75.7,51+,,,
151-225,151-200,Universidade Federal de São Paulo,Brazil,51.0,51+,57.6,51+,77.6,51+,78.9,51+,,,
151-225,101-150,Universidade Federal do Rio de Janeiro,Brazil,70.5,51+,70.9,51+,74.7,51+,69.3,51+,,,
151-225,151-200,Universidade Federal do Rio Grande Do Sul,Brazil,56.9,51+,60.7,51+,77.4,51+,70.7,51+,,,
151-225,151-200,Universitat Autònoma de Barcelona,Spain,52.3,51+,60.1,51+,83.4,51+,78.4,51+,,,
151-225,151-200,Universitat de Valencia,Spain,56.8,51+,39.2,51+,86.9,51+,76.8,51+,,,
151-225,,Universität Hamburg,Germany,50.8,51+,56.0,51+,81.0,51+,73.9,51+,,,
151-225,101-150,Universitat Rovira i Virgili,Spain,45.1,51+,65.4,51+,90.4,20,79.4,51+,,,
151-225,,Université Laval,Canada,57.1,51+,43.7,51+,80.0,51+,72.6,51+,,,
151-225,,University at Buffalo SUNY,United States of America,43.2,51+,53.8,51+,87.2,51+,77.3,51+,,,
151-225,101-150,"University of California, Davis",United States of America,50.2,51+,65.4,51+,83.2,51+,81.4,51+,,,
151-225,101-150,University of Canberra,Australia,50.6,51+,50.8,51+,88.8,36=,80.4,51+,,,
151-225,,University of Central Florida,United States of America,54.3,51+,61.2,51+,84.6,51+,76.2,51+,,,
151-225,101-150,University of Connecticut,United States of America,51.5,51+,38.5,51+,87.0,51+,85.0,51+,,,
151-225,,University of Dundee,United Kingdom,63.9,51+,67.1,51+,73.0,51+,65.6,51+,,,
151-225,101-150,University of East Anglia (UEA),United Kingdom,42.1,51+,36.4,51+,91.6,14,79.4,51+,,,
151-225,,University of Genoa,Italy,60.2,51+,31.8,51+,82.5,51+,71.4,51+,,,
151-225,151-200,University of Gothenburg,Sweden,60.1,51+,32.3,51+,84.0,51+,82.8,51+,,,
151-225,101-150,University of Granada,Spain,44.3,51+,51.2,51+,89.4,29=,83.7,51+,,,
151-225,151-200,University of Huddersfield,United Kingdom,55.6,51+,71.3,51+,80.1,51+,75.1,51+,,,
151-225,151-200,University of Kansas,United States of America,53.2,51+,42.7,51+,84.9,51+,80.4,51+,,,
151-225,151-200,University of Kentucky,United States of America,45.8,51+,61.0,51+,83.2,51+,78.9,51+,,,
151-225,,University of Leicester,United Kingdom,55.7,51+,64.3,51+,89.6,27=,64.8,51+,,,
151-225,101-150,University of Manitoba,Canada,50.0,51+,54.8,51+,85.3,51+,76.8,51+,,,
151-225,,"University of Maryland, College Park",United States of America,58.9,51+,84.8,21,74.9,51+,67.9,51+,,,
151-225,151-200,University of Massachusetts Amherst,United States of America,57.5,51+,41.7,51+,84.3,51+,77.3,51+,,,
151-225,51-100,University of Miami,United States of America,54.7,51+,50.7,51+,83.6,51+,77.9,51+,,,
151-225,101-150,"University of Missouri, Columbia",United States of America,49.2,51+,53.0,51+,83.0,51+,77.9,51+,,,
151-225,,University of Porto,Portugal,54.5,51+,32.5,51+,80.2,51+,82.3,51+,,,
151-225,101-150,University of Rochester,United States of America,66.4,51+,50.8,51+,77.7,51+,70.7,51+,,,
151-225,151-200,University of South Carolina,United States of America,47.5,51+,63.8,51+,82.8,51+,77.3,51+,,,
151-225,,University of South Florida,United States of America,48.9,51+,58.3,51+,79.8,51+,76.2,51+,,,
151-225,,University of Victoria (UVic),Canada,52.9,51+,67.9,51+,80.7,51+,72.6,51+,,,
151-225,151-200,Verona University,Italy,57.6,51+,62.1,51+,88.3,44=,71.4,51+,,,
151-225,151-200,Virginia Commonwealth University,United States of America,60.8,51+,44.1,51+,82.7,51+,79.9,51+,,,
151-225,151-200,Washington State University,United States of America,51.3,51+,38.3,51+,83.3,51+,76.2,51+,,,
151-225,,Washington University in St. Louis,United States of America,42.7,51+,45.6,51+,86.3,51+,79.4,51+,,,
