2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,151-200,Institut National des Sciences Appliquées de Lyon (INSA),France,62.5,51+,70.7,51+,82.7,51+,68.1,51+,,,
151-200,151-200,Jordan University of Science & Technology,Jordan,61.6,51+,69.5,51+,77.8,51+,67.0,51+,,,
151-200,151-200,Khalifa University of Science and Technology,United Arab Emirates,61.2,51+,66.7,51+,82.1,51+,70.2,51+,,,
151-200,101-150,King Saud University,Saudi Arabia,63.9,51+,63.9,51+,88.1,51+,73.5,51+,,,
151-200,101-150,Lund University,Sweden,64.4,51+,64.9,51+,86.9,51+,71.2,51+,,,
151-200,151-200,McMaster University,Canada,62.8,51+,71.2,51+,81.0,51+,69.7,51+,,,
151-200,201-240,Nagoya University,Japan,65.5,51+,71.7,51+,73.9,51+,62.7,51+,,,
151-200,151-200,New York University (NYU),United States of America,63.9,51+,71.1,51+,79.9,51+,64.6,51+,,,
151-200,151-200,North Carolina State University,United States of America,60.3,51+,64.2,51+,81.4,51+,73.0,51+,,,
151-200,151-200,Qatar University,Qatar,62.1,51+,54.7,51+,91.9,6=,77.5,51+,,,
151-200,201-240,Rice University,United States of America,66.7,51+,59.7,51+,82.9,51+,75.6,51+,,,
151-200,201-240,Sejong University,Republic of Korea,63.7,51+,55.8,51+,90.4,22=,78.6,51+,,,
151-200,,Sharif University of Technology,Iran (Islamic Republic of),68.2,51+,48.6,51+,85.8,51+,79.7,51+,,,
151-200,151-200,The Ohio State University,United States of America,60.1,51+,65.3,51+,90.1,26,74.3,51+,,,
151-200,151-200,The University of Exeter,United Kingdom,65.5,51+,59.1,51+,88.3,51+,73.0,51+,,,
151-200,101-150,"The University of Newcastle, Australia (UON)",Australia,64.6,51+,63.1,51+,87.3,51+,72.6,51+,,,
151-200,,The University of Osaka,Japan,68.1,51+,74.6,51+,66.8,51+,53.9,51+,,,
151-200,201-240,The University of Warwick,United Kingdom,58.9,51+,72.0,51+,82.5,51+,71.2,51+,,,
151-200,151-200,Universidad Nacional de Colombia,Colombia,60.7,51+,78.9,46,71.0,51+,62.0,51+,,,
151-200,101-150,Universitat Politècnica de València,Spain,66.9,51+,58.7,51+,80.8,51+,74.3,51+,,,
151-200,151-200,Université Grenoble Alpes,France,67.7,51+,59.6,51+,81.9,51+,70.7,51+,,,
151-200,151-200,Universiti Kebangsaan Malaysia (UKM),Malaysia,63.2,51+,63.2,51+,81.4,51+,70.7,51+,,,
151-200,151-200,Universiti Sains Malaysia (USM),Malaysia,62.7,51+,62.2,51+,81.7,51+,76.0,51+,,,
151-200,101-150,Universiti Teknologi PETRONAS (UTP),Malaysia,66.2,51+,62.0,51+,83.2,51+,72.6,51+,,,
151-200,101-150,University at Buffalo SUNY,United States of America,68.9,51+,55.2,51+,87.6,51+,73.9,51+,,,
151-200,101-150,University of Bath,United Kingdom,62.5,51+,63.9,51+,88.7,46,75.6,51+,,,
151-200,101-150,University of Calgary,Canada,66.3,51+,64.8,51+,81.8,51+,69.2,51+,,,
151-200,151-200,"University of California, Irvine",United States of America,61.9,51+,64.5,51+,81.9,51+,69.7,51+,,,
