2025,2024,Institution,Country / Territory,Academic,AR Rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
55,55,Universitat de Barcelona,Spain,76.7,73,73.8,87=,86.7,107=,74.7,91,77.8,35,78.1
56,62,University of Bristol,United Kingdom,75.4,91,69.5,133,96.9,2,75.1,89,64.9,143,78.0
=57,53,University of Chicago,United States of America,74.1,103=,80.3,38,91.0,31=,80.2,43=,59.8,214=,77.9
=57,60,University of Zurich,Switzerland,75.6,87=,72.2,102=,87.3,94=,77.6,64,75.0,55=,77.9
=59,69,Ghent University,Belgium,75.2,92=,71.1,113=,85.7,130=,74.6,92,85.0,13,77.8
=59,55,McMaster University,Canada,74.1,103=,69.0,135=,92.8,18=,77.1,67=,73.1,67,77.8
=59,58,Université Paris-Saclay,France,69.4,162,77.9,56,89.5,51=,84.3,23=,75.3,52,77.8
=59,68,University of Birmingham,United Kingdom,75.1,94,71.4,109,90.8,33=,73.9,99=,77.2,39,77.8
63,58,Boston University,United States of America,75.6,87=,72.7,98=,88.7,62=,76.8,72=,71.2,87,77.7
64,64,Emory University,United States of America,74.1,103=,53.3,399,89.3,55=,82.5,31,81.3,24,77.5
65,64,Northwestern University,United States of America,68.6,177=,77.7,57=,91.9,26,83.5,25,68.7,106,77.2
=66,61,Kyoto University,Japan,85.4,24,78.0,54=,79.7,290=,68.1,175=,54.0,313=,76.9
=66,57,Yonsei University,Republic of Korea,79.0,53=,82.9,32,83.1,204=,71.8,120,59.8,214=,76.9
68,67,University of Nottingham,United Kingdom,77.3,67=,70.7,118,88.5,69=,71.4,121=,68.1,114,76.8
69,81,Queen Mary University of London,United Kingdom,69.8,159,71.2,111=,95.7,3=,74.9,90,74.9,58,76.7
70,70,University of Florida,United States of America,75.0,95=,66.0,183=,81.4,243=,75.6,84=,85.7,12,76.6
71,88,Shanghai Jiao Tong University,China (Mainland),77.3,67=,78.1,51=,81.9,231=,80.0,46=,52.9,337=,76.4
72,78,University of Liverpool,United Kingdom,72.8,117,70.3,120=,87.6,85=,71.4,121=,83.2,17,76.3
=73,62,Baylor College of Medicine,United States of America,77.4,66,49.9,401+,88.0,75=,77.1,67=,71.9,81,76.2
=73,81,The University of Texas M. D. Anderson Cancer Center,United States of America,72.0,127=,49.4,401+,95.7,3=,87.3,11,58.1,239=,76.2
=75,77,Technical University of Munich,Germany,71.8,131,84.2,26=,86.7,107=,74.4,93=,65.6,136=,75.9
=75,94,Zhejiang University,China (Mainland),75.6,87=,74.0,84=,83.1,204=,78.8,56,58.7,232=,75.9
77,76,Leiden University,Netherlands,71.9,129=,64.3,212=,88.9,61,77.1,67=,74.5,60=,75.8
=78,92,Fudan University,China (Mainland),77.0,70=,74.6,77,83.5,193=,80.2,43=,47.4,401+,75.7
=78,83,The Ohio State University,United States of America,70.7,142=,68.9,137=,85.6,132=,80.2,43=,73.5,66,75.7
80,85,National Taiwan University (NTU),Taiwan,79.6,49,79.8,40=,83.7,189=,70.9,133=,47.2,401+,75.5
=81,73,Uppsala University,Sweden,74.8,97=,70.5,119,85.6,132=,71.0,129=,71.5,85,75.4
=81,85,Vanderbilt University,United States of America,67.8,192=,62.7,241,91.0,31=,82.7,30,72.2,78,75.4
=83,78,Erasmus University Rotterdam,Netherlands,70.9,139=,65.8,186=,89.3,55=,78.6,57,67.8,118,75.3
=83,71,King Abdulaziz University (KAU),Saudi Arabia,83.5,29,69.9,126=,81.5,240=,63.3,260=,59.1,227=,75.3
=83,72,University of Wisconsin-Madison,United States of America,74.2,102,73.1,92=,85.1,148=,77.1,67=,58.6,235,75.3
=86,78,Université Paris Cité,France,65.0,235=,50.6,401+,90.4,39=,86.1,15,88.3,8,75.2
=86,73,University of Alberta,Canada,71.9,129=,71.5,108,86.9,104=,74.4,93=,70.0,94,75.2
=86,73,University of Minnesota Twin Cities,United States of America,70.7,142=,69.6,132,85.5,137=,78.0,60=,73.0,68=,75.2
89,97,University of Milan,Italy,73.1,109=,67.5,161=,85.8,123=,76.4,74=,65.2,140=,75.0
90,90,University of Helsinki,Finland,73.8,106,66.0,183=,83.8,184=,72.3,113=,75.2,53=,74.9
91,84,University of Pittsburgh,United States of America,70.3,150=,51.4,401+,87.8,80=,83.2,27,73.0,68=,74.8
92,91,University of Groningen,Netherlands,70.7,142=,67.8,154=,88.0,75=,75.9,80=,67.6,119,74.6
=93,85,Newcastle University,United Kingdom,72.9,116,66.5,178=,88.7,62=,72.3,113=,64.8,144=,74.5
=93,89,The University of Auckland,New Zealand,78.5,59=,73.9,86,83.5,193=,66.6,192=,57.1,258=,74.5
=95,98,Medizinische Universität Wien,Austria,73.0,111=,59.6,296=,89.5,51=,75.4,86=,61.1,191=,74.3
=95,94,"Trinity College Dublin, The University of Dublin",Ireland,73.0,111=,78.1,51=,87.6,85=,68.3,172=,60.8,196=,74.3
97,98,University of Leeds,United Kingdom,70.3,150=,68.0,151=,88.2,73,71.2,125=,72.5,73=,74.1
