2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,Leeds Beckett University,United Kingdom,70.9,51+,66.3,51+,82.7,51+,81.2,51+,,,
51-100,51-100,Maastricht University,Netherlands,70.2,51+,58.9,51+,86.7,32=,85.8,32=,,,
51-100,51-100,Manchester Metropolitan University (MMU),United Kingdom,69.5,51+,78.8,39=,78.8,51+,78.2,51+,,,
51-100,51-100,Massachusetts Institute of Technology (MIT),United States of America,86.7,10,94.1,4,57.1,51+,39.7,51+,,,
51-100,50,Michigan State University,United States of America,76.0,51+,70.1,51+,84.3,51+,82.3,51+,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,77.1,48=,71.0,51+,80.4,51+,66.4,51+,,,
51-100,51-100,New York University (NYU),United States of America,74.9,51+,81.1,30=,78.8,51+,74.6,51+,,,
51-100,51-100,Northwestern University,United States of America,67.0,51+,74.9,51+,79.6,51+,83.4,49=,,,
51-100,51-100,Queen's University at Kingston,Canada,71.8,51+,75.9,50=,88.2,18=,84.4,43=,,,
51-100,51-100,Queensland University of Technology (QUT),Australia,72.5,51+,81.4,29,85.3,46=,79.4,51+,,,
51-100,101-140,Shanghai Jiao Tong University,China (Mainland),72.3,51+,86.4,16,77.0,51+,71.4,51+,,,
51-100,51-100,Swansea University,United Kingdom,73.2,51+,75.0,51+,82.8,51+,76.1,51+,,,
51-100,51-100,Temple University,United States of America,78.0,44=,62.4,51+,80.2,51+,73.9,51+,,,
51-100,=37,Texas A&M University,United States of America,80.4,33,76.8,47=,79.0,51+,64.1,51+,,,
51-100,51-100,"The University of Newcastle, Australia (UON)",Australia,66.2,51+,67.4,51+,86.8,31,88.4,17=,,,
51-100,101-140,"Trinity College Dublin, The University of Dublin",Ireland,71.0,51+,71.6,51+,84.7,51+,76.8,51+,,,
51-100,101-140,Tsinghua University,China (Mainland),75.1,51+,88.8,12,66.1,51+,51.0,51+,,,
51-100,101-140,UNESP,Brazil,71.1,51+,75.8,51+,78.5,51+,83.4,49=,,,
51-100,,Universidade Estadual de Campinas (Unicamp),Brazil,66.9,51+,83.7,22,77.5,51+,79.4,51+,,,
51-100,51-100,Universitat de Barcelona,Spain,75.7,51+,74.5,51+,81.9,51+,79.4,51+,,,
51-100,101-140,Universitat de Valencia,Spain,69.6,51+,55.8,51+,79.4,51+,84.9,41=,,,
51-100,51-100,University College Dublin,Ireland,71.2,51+,72.3,51+,84.2,51+,85.4,37=,,,
51-100,51-100,University of Bristol,United Kingdom,67.8,51+,70.9,51+,91.5,3,76.1,51+,,,
51-100,51-100,University of Canberra,Australia,68.6,51+,73.2,51+,88.4,17,88.0,20=,,,
51-100,101-140,University of Colorado Boulder,United States of America,69.2,51+,64.3,51+,85.8,40=,74.6,51+,,,
51-100,51-100,University of Glasgow,United Kingdom,70.4,51+,69.2,51+,83.1,51+,69.5,51+,,,
51-100,51-100,University of Granada,Spain,73.1,51+,53.7,51+,80.6,51+,85.4,37=,,,
51-100,51-100,University of Groningen,Netherlands,71.5,51+,58.8,51+,84.9,51+,85.8,32=,,,
51-100,101-140,University of Lausanne,Switzerland,69.2,51+,72.3,51+,81.0,51+,75.4,51+,,,
51-100,51-100,University of Leeds,United Kingdom,68.6,51+,74.0,51+,83.0,51+,70.5,51+,,,
51-100,51-100,University of Limerick,Ireland,70.9,51+,65.8,51+,85.8,40=,87.6,24,,,
51-100,51-100,University of Massachusetts Amherst,United States of America,73.5,51+,75.1,51+,81.4,51+,65.3,51+,,,
51-100,51-100,University of Nottingham,United Kingdom,68.5,51+,69.9,51+,88.2,18=,82.3,51+,,,
