2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-150,51-100,Monash University,Australia,65.0,51+,73.4,51+,,,,,,,
51-150,,Nagoya University,Japan,60.3,51+,53.8,51+,,,,,,,
51-150,51-100,National and Kapodistrian University of Athens,Greece,73.0,46=,63.9,51+,,,,,,,
51-150,,National Cheng Kung University (NCKU),Taiwan,67.9,51+,66.7,51+,,,,,,,
51-150,,National Taiwan Normal University,Taiwan,58.9,51+,61.0,51+,,,,,,,
51-150,38,National University of Singapore (NUS),Singapore,69.5,51+,98.5,4,,,,,,,
51-150,51-100,New York University (NYU),United States of America,67.2,51+,79.5,44,,,,,,,
51-150,51-100,Newcastle University,United Kingdom,65.2,51+,64.4,51+,,,,,,,
51-150,,Renmin (People's) University of China,China (Mainland),65.4,51+,68.9,51+,,,,,,,
51-150,51-100,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,68.4,51+,49.8,51+,,,,,,,
51-150,51-100,Royal Holloway University of London,United Kingdom,65.4,51+,78.5,48,,,,,,,
51-150,51-100,SOAS University of London,United Kingdom,73.0,46=,55.4,51+,,,,,,,
51-150,,Sun Yat-sen University,China (Mainland),65.4,51+,61.6,51+,,,,,,,
51-150,51-100,Swansea University,United Kingdom,60.6,51+,56.6,51+,,,,,,,
51-150,,Tel Aviv University,Israel,62.7,51+,33.5,51+,,,,,,,
51-150,,The Australian National University,Australia,61.6,51+,91.1,13,,,,,,,
51-150,51-100,The Hebrew University of Jerusalem,Israel,65.9,51+,56.4,51+,,,,,,,
51-150,51-100,The University of Adelaide,Australia,65.1,51+,63.6,51+,,,,,,,
51-150,,The University of Auckland,New Zealand,57.8,51+,72.9,51+,,,,,,,
51-150,51-100,The University of Manchester,United Kingdom,68.6,51+,64.7,51+,,,,,,,
51-150,51-100,The University of Melbourne,Australia,65.5,51+,83.8,27=,,,,,,,
51-150,51-100,The University of Osaka,Japan,64.9,51+,53.6,51+,,,,,,,
51-150,51-100,The University of Queensland,Australia,60.7,51+,72.6,51+,,,,,,,
51-150,,The University of Warwick,United Kingdom,60.9,51+,87.1,22,,,,,,,
51-150,51-100,The University of Western Australia,Australia,70.6,51+,66.4,51+,,,,,,,
51-150,,Tohoku University,Japan,63.7,51+,53.4,51+,,,,,,,
51-150,51-100,"Trinity College Dublin, The University of Dublin",Ireland,68.5,51+,62.3,51+,,,,,,,
51-150,,Universidad Autónoma de Madrid,Spain,63.7,51+,64.0,51+,,,,,,,
51-150,,Universidad de Buenos Aires (UBA),Argentina,55.3,51+,92.6,10,,,,,,,
51-150,,Universidad Nacional Autónoma de México (UNAM),Mexico,60.8,51+,81.9,34=,,,,,,,
51-150,51-100,"Universita' degli Studi di Napoli ""L'Orientale""",Italy,64.0,51+,81.9,34=,,,,,,,
51-150,49,Università di Padova,Italy,69.9,51+,72.5,51+,,,,,,,
51-150,51-100,Universität Hamburg,Germany,69.0,51+,74.4,51+,,,,,,,
51-150,51-100,Université de Fribourg,Switzerland,62.4,51+,38.0,51+,,,,,,,
51-150,,Université de Lille,France,64.6,51+,38.7,51+,,,,,,,
51-150,51-100,Université de Strasbourg,France,69.1,51+,71.4,51+,,,,,,,
51-150,,Université Lumière Lyon 2,France,59.3,51+,79.3,45,,,,,,,
51-150,47,Université PSL,France,69.7,51+,85.2,23=,,,,,,,
51-150,,University of Amsterdam,Netherlands,65.7,51+,63.0,51+,,,,,,,
51-150,51-100,University of Bari,Italy,63.9,51+,75.2,51+,,,,,,,
51-150,51-100,University of Basel,Switzerland,69.4,51+,48.5,51+,,,,,,,
51-150,51-100,University of Bristol,United Kingdom,64.6,51+,67.8,51+,,,,,,,
51-150,,University of British Columbia,Canada,58.5,51+,82.4,31,,,,,,,
51-150,51-100,"University of California, Los Angeles (UCLA)",United States of America,68.7,51+,70.6,51+,,,,,,,
51-150,,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,63.8,51+,65.2,51+,,,,,,,
51-150,,University of Cincinnati,United States of America,63.2,51+,52.1,51+,,,,,,,
51-150,,University of Copenhagen,Denmark,63.4,51+,70.8,51+,,,,,,,
51-150,,University of Crete,Greece,65.5,51+,0.0,51+,,,,,,,
51-150,,University of Florence,Italy,63.2,51+,56.1,51+,,,,,,,
51-150,,University of Galway,Ireland,59.8,51+,53.8,51+,,,,,,,
51-150,51-100,University of Göttingen,Germany,71.2,51+,44.0,51+,,,,,,,
51-150,,University of Groningen,Netherlands,65.0,51+,39.6,51+,,,,,,,
51-150,51-100,University of Lausanne,Switzerland,67.6,51+,94.8,9,,,,,,,
51-150,51-100,University of Liverpool,United Kingdom,73.6,43,61.8,51+,,,,,,,
51-150,51-100,University of Michigan-Ann Arbor,United States of America,68.7,51+,68.5,51+,,,,,,,
51-150,51-100,University of Milan,Italy,67.1,51+,67.4,51+,,,,,,,
51-150,=36,University of Naples - Federico II,Italy,69.4,51+,74.4,51+,,,,,,,
51-150,51-100,"University of North Carolina, Chapel Hill",United States of America,69.3,51+,56.7,51+,,,,,,,
51-150,,University of Notre Dame,United States of America,64.2,51+,49.2,51+,,,,,,,
51-150,,University of Otago,New Zealand,64.6,51+,69.7,51+,,,,,,,
51-150,51-100,University of Pennsylvania,United States of America,63.4,51+,72.3,51+,,,,,,,
51-150,,University of Reading,United Kingdom,68.7,51+,47.8,51+,,,,,,,
51-150,,University of Salamanca,Spain,60.9,51+,63.8,51+,,,,,,,
51-150,,University of Siena,Italy,66.3,51+,55.6,51+,,,,,,,
51-150,51-100,University of Texas at Austin,United States of America,67.7,51+,54.6,51+,,,,,,,
51-150,,University of Virginia,United States of America,60.8,51+,76.0,51+,,,,,,,
51-150,,University of Waterloo,Canada,61.1,51+,81.5,37,,,,,,,
51-150,44,University of Zurich,Switzerland,71.7,51+,59.1,51+,,,,,,,
51-150,51-100,Utrecht University,Netherlands,67.7,51+,66.0,51+,,,,,,,
51-150,,Victoria University of Wellington,New Zealand,61.6,51+,72.3,51+,,,,,,,
51-150,,Vrije Universiteit Amsterdam,Netherlands,65.8,51+,40.9,51+,,,,,,,
51-150,51-100,Waseda University,Japan,67.7,51+,61.7,51+,,,,,,,
51-150,,Western University,Canada,69.5,51+,80.5,41,,,,,,,
51-150,51-100,Westfälische Wilhelms-Universität Münster,Germany,63.4,51+,45.7,51+,,,,,,,
51-150,,Wuhan University,China (Mainland),63.9,51+,77.7,51+,,,,,,,
51-150,,York University,Canada,59.4,51+,84.6,26,,,,,,,
51-150,,Zhejiang University,China (Mainland),65.6,51+,78.4,49,,,,,,,
