2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,65.4,51+,81.5,19,,,,,,,
51-100,101-120,National Taiwan University (NTU),Taiwan,64.0,51+,65.8,51+,,,,,,,
51-100,,Newcastle University,United Kingdom,64.0,51+,80.1,24,,,,,,,
51-100,51-100,Peking University,China (Mainland),64.0,51+,80.3,22=,,,,,,,
51-100,51-100,Queen Mary University of London,United Kingdom,70.7,51+,67.3,51+,,,,,,,
51-100,51-100,Queen's University Belfast,United Kingdom,62.8,51+,63.5,51+,,,,,,,
51-100,51-100,"Royal Academy of Music, Aarhus",Denmark,73.9,47,28.1,51+,,,,,,,
51-100,51-100,Royal Irish Academy of Music,Ireland,73.1,50=,45.2,51+,,,,,,,
51-100,51-100,Seoul National University,Republic of Korea,68.3,51+,66.2,51+,,,,,,,
51-100,51-100,Sorbonne University,France,64.1,51+,63.5,51+,,,,,,,
51-100,,Sungshin Women's University,Republic of Korea,65.6,51+,54.6,51+,,,,,,,
51-100,,The Australian National University,Australia,61.4,51+,70.1,49,,,,,,,
51-100,51-100,The Russian Academy of Arts,Russian Federation,59.6,51+,79.7,25,,,,,,,
51-100,51-100,The University of Auckland,New Zealand,63.4,51+,73.8,37,,,,,,,
51-100,51-100,The University of Edinburgh,United Kingdom,66.3,51+,67.1,51+,,,,,,,
51-100,101-120,The University of Hong Kong,"Hong Kong SAR, China",65.9,51+,73.9,36,,,,,,,
51-100,51-100,The University of Manchester,United Kingdom,67.2,51+,68.5,51+,,,,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,65.0,51+,72.3,39,,,,,,,
51-100,51-100,The University of Sydney,Australia,68.9,51+,72.1,40,,,,,,,
51-100,,The University of Tokyo,Japan,71.2,51+,61.7,51+,,,,,,,
51-100,51-100,The University of Warwick,United Kingdom,65.3,51+,62.2,51+,,,,,,,
51-100,51-100,Universiti Malaya (UM),Malaysia,69.0,51+,63.7,51+,,,,,,,
51-100,51-100,University College Cork,Ireland,65.7,51+,67.8,51+,,,,,,,
51-100,51-100,University College Dublin,Ireland,69.1,51+,70.4,47,,,,,,,
51-100,49,University of Birmingham,United Kingdom,70.2,51+,57.9,51+,,,,,,,
51-100,51-100,"University of California, San Diego (UCSD)",United States of America,65.5,51+,57.2,51+,,,,,,,
51-100,51-100,University of Chicago,United States of America,70.4,51+,63.6,51+,,,,,,,
51-100,51-100,University of Galway,Ireland,64.7,51+,56.6,51+,,,,,,,
51-100,101-120,University of Glasgow,United Kingdom,65.8,51+,65.7,51+,,,,,,,
51-100,51-100,University of Leeds,United Kingdom,64.9,51+,65.4,51+,,,,,,,
51-100,44,University of Michigan-Ann Arbor,United States of America,69.5,51+,59.9,51+,,,,,,,
51-100,43,University of Southern California,United States of America,73.1,50=,57.7,51+,,,,,,,
51-100,51-100,University of York,United Kingdom,65.3,51+,75.5,32,,,,,,,
51-100,,Van Lang University,Viet Nam,63.0,51+,62.3,51+,,,,,,,
101-150,,Beijing Film Academy,China (Mainland),60.6,51+,62.1,51+,,,,,,,
101-150,,Beijing Normal University,China (Mainland),58.4,51+,66.6,51+,,,,,,,
101-150,51-100,Boston University,United States of America,62.0,51+,63.4,51+,,,,,,,
101-150,,Carnegie Mellon University,United States of America,61.1,51+,51.4,51+,,,,,,,
101-150,,Conservatoire national supérieur d’art dramatique de Paris (CNSAD),France,68.6,51+,28.4,51+,,,,,,,
101-150,,Duke University,United States of America,60.4,51+,59.6,51+,,,,,,,
101-150,,Edith Cowan University,Australia,64.9,51+,40.8,51+,,,,,,,
101-150,,Escola Superior de Música de Catalunya,Spain,66.0,51+,28.1,51+,,,,,,,
101-150,,Estonian Academy of Music and Theatre,Estonia,65.3,51+,52.4,51+,,,,,,,
101-150,,Florida State University,United States of America,58.8,51+,59.5,51+,,,,,,,
101-150,,Fudan University,China (Mainland),58.2,51+,71.2,43,,,,,,,
101-150,101-120,Griffith University,Australia,66.3,51+,45.9,51+,,,,,,,
101-150,101-120,Indonesia Institute of the Arts Yogyakarta,Indonesia,65.3,51+,43.1,51+,,,,,,,
101-150,,Johns Hopkins University,United States of America,59.0,51+,68.8,51+,,,,,,,
101-150,,Ludwig-Maximilians-Universität München,Germany,60.5,51+,54.9,51+,,,,,,,
101-150,51-100,Monash University,Australia,62.0,51+,65.2,51+,,,,,,,
101-150,,"National Institute of Dramatic Art (NIDA), Sydney",Australia,60.5,51+,63.1,51+,,,,,,,
101-150,101-120,Oslo National Academy of the Arts,Norway,68.4,51+,27.6,51+,,,,,,,
101-150,,Pontificia Universidad Católica de Chile (UC),Chile,50.8,51+,86.3,11,,,,,,,
101-150,101-120,Princeton University,United States of America,60.7,51+,55.7,51+,,,,,,,
101-150,,Purchase College SUNY,United States of America,58.3,51+,57.8,51+,,,,,,,
101-150,101-120,Queensland University of Technology (QUT),Australia,61.3,51+,63.2,51+,,,,,,,
101-150,,RMIT University,Australia,61.2,51+,63.6,51+,,,,,,,
101-150,,Royal College of Art,United Kingdom,57.5,51+,75.2,33,,,,,,,
101-150,,Tchaikovsky National Academy of Music (Kiev Conservatory),Ukraine,62.4,51+,47.1,51+,,,,,,,
101-150,,The American University in Cairo,Egypt,58.1,51+,71.0,45,,,,,,,
101-150,,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",60.0,51+,68.5,51+,,,,,,,
101-150,101-120,The University of Exeter,United Kingdom,64.2,51+,55.8,51+,,,,,,,
101-150,101-120,The University of Queensland,Australia,58.9,51+,66.2,51+,,,,,,,
101-150,101-120,The University of Sheffield,United Kingdom,57.3,51+,67.8,51+,,,,,,,
101-150,101-120,Université de Montréal,Canada,61.4,51+,52.5,51+,,,,,,,
101-150,,Université Paris 1 Panthéon-Sorbonne,France,53.4,51+,82.9,14,,,,,,,
101-150,,Université PSL,France,58.2,51+,61.2,51+,,,,,,,
101-150,,Universiti Putra Malaysia (UPM),Malaysia,59.2,51+,52.6,51+,,,,,,,
101-150,,University of Amsterdam,Netherlands,65.4,51+,51.3,51+,,,,,,,
101-150,51-100,University of Basel,Switzerland,62.7,51+,44.9,51+,,,,,,,
101-150,,University of Bern,Switzerland,63.8,51+,44.5,51+,,,,,,,
101-150,101-120,University of Bristol,United Kingdom,62.9,51+,61.2,51+,,,,,,,
101-150,51-100,University of British Columbia,Canada,61.4,51+,68.6,51+,,,,,,,
101-150,101-120,University of Illinois at Urbana-Champaign,United States of America,66.2,51+,34.9,51+,,,,,,,
101-150,,University of Kent,United Kingdom,63.4,51+,50.8,51+,,,,,,,
101-150,51-100,University of Limerick,Ireland,59.2,51+,62.6,51+,,,,,,,
101-150,,University of Oslo,Norway,65.2,51+,38.8,51+,,,,,,,
101-150,51-100,University of Texas at Austin,United States of America,66.5,51+,47.4,51+,,,,,,,
101-150,,University of the Arts London,United Kingdom,57.9,51+,69.1,51+,,,,,,,
101-150,51-100,University of the Philippines,Philippines,62.2,51+,52.9,51+,,,,,,,
101-150,51-100,Victoria University of Wellington,New Zealand,56.8,51+,70.0,50,,,,,,,
101-150,,Yonsei University,Republic of Korea,60.9,51+,56.4,51+,,,,,,,
101-150,101-120,York University,Canada,60.5,51+,62.6,51+,,,,,,,
101-150,,Youngsan University,Republic of Korea,60.7,51+,67.0,51+,,,,,,,
101-150,,Zhejiang University,China (Mainland),54.5,51+,75.1,34,,,,,,,
