2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
79,=68,University of Technology Sydney,Australia,71.5,93=,65.7,101+,80.8,94=,85.5,64=,,,72.3
80,=66,European University Institute,Italy,78.3,46,51.9,101+,79.3,101+,88.0,47=,,,71.9
81,101-150,Korea University,Republic of Korea,70.4,101+,74.3,66,84.2,32=,67.6,101+,,,71.8
82,=89,"Nanyang Technological University, Singapore (NTU)",Singapore,62.4,101+,83.7,15,85.5,19,73.8,101+,,,71.7
=83,=99,Universität Hamburg,Germany,77.9,50,59.5,101+,72.2,101+,74.8,101+,,,71.6
=83,101-150,University of Milan,Italy,77.6,51,60.6,101+,67.6,101+,74.8,101+,,,71.6
=85,=82,Universidad Autónoma de Madrid,Spain,70.9,98,73.6,73,64.6,101+,71.5,101+,,,71.5
=85,101-150,Universidad del Rosario,Colombia,69.9,101+,76.9,42=,66.9,101+,67.6,101+,,,71.5
87,101-150,Yonsei University,Republic of Korea,71.5,93=,73.7,72,77.3,101+,64.6,101+,,,71.4
88,=52,Luiss Guido Carli University,Italy,66.7,101+,78.0,39,72.1,101+,72.7,101+,,,71.3
89,81,Victoria University of Wellington,New Zealand,75.4,68=,61.8,101+,75.8,101+,73.8,101+,,,71.1
=90,201-250,Nanjing University,China (Mainland),73.3,77=,65.8,101+,80.8,94=,70.3,101+,,,71.0
=90,79,University of Texas at Austin,United States of America,66.4,101+,72.2,85,79.6,101+,81.2,101+,,,71.0
=92,84,Pontificia Universidad Católica del Perú,Peru,72.3,88,73.8,70=,63.1,101+,63.0,101+,,,70.9
=92,=85,University of Copenhagen,Denmark,70.3,101+,61.9,101+,79.6,101+,88.0,47=,,,70.9
94,73,University College Cork,Ireland,73.4,75=,65.3,101+,75.4,101+,71.5,101+,,,70.8
=95,101-150,King Abdulaziz University (KAU),Saudi Arabia,72.4,87,66.0,101+,83.0,47=,69.0,101+,,,70.5
=95,78,University of Nottingham,United Kingdom,70.0,101+,66.3,101+,76.4,101+,78.7,101+,,,70.5
=97,=85,American University,United States of America,69.2,101+,63.0,101+,82.4,59=,85.5,64=,,,70.4
=97,251-300,Jilin University,China (Mainland),66.1,101+,74.7,59=,81.6,70=,72.7,101+,,,70.4
99,101-150,Instituto Tecnológico Autónomo de México (ITAM),Mexico,70.8,99,72.0,86=,67.3,101+,66.2,101+,,,70.3
=100,=89,George Washington University,United States of America,67.8,101+,63.3,101+,81.9,65=,88.0,47=,,,70.2
=100,101-150,Tilburg University,Netherlands,67.0,101+,62.2,101+,81.0,89=,93.4,19=,,,70.2
=100,=85,University of Oslo,Norway,72.1,89,55.0,101+,81.1,84=,90.3,30=,,,70.2
101-150,151-200,Dalhousie University,Canada,67.6,101+,58.5,101+,80.9,91=,77.8,101+,,,
101-150,101-150,Erasmus University Rotterdam,Netherlands,60.3,101+,70.3,101+,81.3,77=,86.8,57=,,,
101-150,101-150,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,60.8,101+,79.8,27=,79.8,101+,72.7,101+,,,
101-150,101-150,Fundação Getulio Vargas,Brazil,65.9,101+,67.0,101+,70.7,101+,69.0,101+,,,
101-150,101-150,Ghent University,Belgium,67.3,101+,61.5,101+,75.4,101+,84.9,71=,,,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,76.2,63,56.0,101+,71.7,101+,75.9,101+,,,
101-150,101-150,Johns Hopkins University,United States of America,65.4,101+,66.0,101+,83.1,44=,77.8,101+,,,
101-150,101-150,Keio University,Japan,69.5,101+,70.1,101+,80.8,94=,57.2,101+,,,
101-150,=74,Lomonosov Moscow State University,Russian Federation,67.3,101+,80.5,25=,64.0,101+,52.4,101+,,,
101-150,91,Lund University,Sweden,68.6,101+,62.3,101+,78.5,101+,81.2,101+,,,
101-150,101-150,Pontificia Universidad Javeriana,Colombia,71.8,91,79.6,31=,55.0,101+,49.6,101+,,,
101-150,101-150,Queen's University Belfast,United Kingdom,65.8,101+,63.6,101+,82.3,61=,84.2,78=,,,
101-150,101-150,RUDN University,Russian Federation,68.1,101+,76.5,46,66.1,101+,59.3,101+,,,
101-150,101-150,Singapore Management University,Singapore,73.5,74,61.8,101+,71.8,101+,71.5,101+,,,
101-150,101-150,SOAS University of London,United Kingdom,69.9,101+,54.9,101+,82.3,61=,73.8,101+,,,
101-150,101-150,Swansea University,United Kingdom,65.8,101+,61.9,101+,83.5,40=,76.8,101+,,,
101-150,101-150,Tecnológico de Monterrey,Mexico,65.4,101+,84.8,12=,67.8,101+,57.2,101+,,,
101-150,101-150,The University of Adelaide,Australia,64.3,101+,65.4,101+,78.1,101+,84.2,78=,,,
101-150,101-150,The University of Warwick,United Kingdom,62.4,101+,73.2,74,80.3,101+,83.5,88=,,,
101-150,101-150,The University of Western Australia,Australia,63.5,101+,62.5,101+,77.5,101+,81.2,101+,,,
101-150,101-150,Universidad Adolfo Ibáñez,Chile,59.0,101+,77.7,40,72.4,101+,70.3,101+,,,
101-150,101-150,Universidad Austral,Argentina,72.8,82=,73.0,76=,64.9,101+,55.0,101+,,,
101-150,80,Universidad Carlos III de Madrid (UC3M),Spain,67.1,101+,75.5,52=,62.4,101+,69.0,101+,,,
101-150,151-200,Universidad Diego Portales (UDP),Chile,68.7,101+,71.7,91=,65.8,101+,61.2,101+,,,
101-150,101-150,Universidad Nacional de Colombia,Colombia,64.1,101+,81.1,23=,66.5,101+,63.0,101+,,,
101-150,101-150,Università Cattolica del Sacro Cuore,Italy,66.0,101+,66.0,101+,75.6,101+,75.9,101+,,,
101-150,151-200,Universitas Indonesia,Indonesia,71.3,97,70.1,101+,64.3,101+,61.2,101+,,,
101-150,101-150,Universitat de Barcelona,Spain,71.5,93=,67.7,101+,65.2,101+,71.5,101+,,,
101-150,101-150,Universitat Pompeu Fabra (Barcelona),Spain,65.9,101+,67.1,101+,69.5,101+,76.8,101+,,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,67.6,101+,65.3,101+,74.6,101+,70.3,101+,,,
101-150,95,Universite libre de Bruxelles,Belgium,69.7,101+,68.1,101+,74.5,101+,69.0,101+,,,
101-150,151-200,Université Paris-Saclay,France,58.9,101+,74.6,61=,83.1,44=,72.7,101+,,,
101-150,101-150,Universiti Malaya (UM),Malaysia,67.1,101+,67.8,101+,77.6,101+,69.0,101+,,,
101-150,=92,University College Dublin,Ireland,67.4,101+,68.6,101+,77.7,101+,79.5,101+,,,
101-150,101-150,University of Birmingham,United Kingdom,63.0,101+,67.8,101+,78.6,101+,84.2,78=,,,
101-150,101-150,"University of California, Irvine",United States of America,64.5,101+,57.4,101+,86.2,11,93.4,19=,,,
101-150,98,University of Geneva,Switzerland,73.2,79,58.4,101+,69.9,101+,70.3,101+,,,
101-150,151-200,University of Groningen,Netherlands,66.9,101+,58.6,101+,78.4,101+,85.5,64=,,,
101-150,101-150,University of Helsinki,Finland,69.1,101+,55.9,101+,76.6,101+,84.2,78=,,,
101-150,101-150,University of Leeds,United Kingdom,60.3,101+,69.3,101+,80.4,101+,88.0,47=,,,
101-150,101-150,University of Notre Dame,United States of America,68.6,101+,57.9,101+,74.0,101+,76.8,101+,,,
101-150,97,University of Vienna,Austria,72.5,86,58.4,101+,64.9,101+,71.5,101+,,,
101-150,151-200,University of Warsaw,Poland,70.6,101+,59.7,101+,69.6,101+,79.5,101+,,,
101-150,101-150,University of Washington,United States of America,61.9,101+,64.0,101+,84.3,29=,90.3,30=,,,
101-150,101-150,University of Zurich,Switzerland,72.0,90,61.5,101+,76.8,101+,76.8,101+,,,
101-150,101-150,University Paris 2 Panthéon-Assas,France,80.0,36,53.4,101+,59.5,101+,59.3,101+,,,
101-150,201-250,Vanderbilt University,United States of America,62.3,101+,60.6,101+,82.4,59=,88.0,47=,,,
101-150,251-300,Xiamen University,China (Mainland),66.8,101+,60.7,101+,88.5,6,80.4,101+,,,
151-200,151-200,Airlangga University,Indonesia,66.0,101+,66.7,101+,55.9,101+,59.3,101+,,,
151-200,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,76.8,57,49.7,101+,69.6,101+,61.2,101+,,,
151-200,,Bauman Moscow State Technical University,Russian Federation,68.1,101+,74.5,63=,46.1,101+,33.1,101+,,,
151-200,201-250,Cairo University,Egypt,64.1,101+,67.1,101+,69.8,101+,57.2,101+,,,
151-200,201-250,Cardiff University,United Kingdom,57.2,101+,63.2,101+,80.0,101+,84.2,78=,,,
151-200,101-150,Central European University,Austria,66.0,101+,57.6,101+,78.7,101+,73.8,101+,,,
151-200,201-250,"City, University of London",United Kingdom,58.9,101+,61.9,101+,79.8,101+,80.4,101+,,,
151-200,101-150,Griffith University,Australia,65.0,101+,52.0,101+,81.4,75=,90.9,27=,,,
151-200,301-350,Hanyang University,Republic of Korea,64.0,101+,69.9,101+,68.6,101+,61.2,101+,,,
151-200,101-150,HSE University,Russian Federation,60.0,101+,71.3,96,71.8,101+,64.6,101+,,,
151-200,151-200,Kyushu University,Japan,67.8,101+,62.5,101+,65.4,101+,57.2,101+,,,
151-200,101-150,Macquarie University,Australia,62.5,101+,62.3,101+,78.6,101+,78.7,101+,,,
151-200,151-200,Michigan State University,United States of America,52.7,101+,68.2,101+,82.5,55=,93.4,19=,,,
151-200,151-200,Nagoya University,Japan,73.4,75=,63.7,101+,58.5,101+,49.6,101+,,,
151-200,201-250,Newcastle University,United Kingdom,58.0,101+,65.0,101+,78.4,101+,77.8,101+,,,
151-200,151-200,Pennsylvania State University,United States of America,52.3,101+,66.5,101+,81.1,84=,90.9,27=,,,
151-200,201-250,Pontificia Universidad Católica Argentina,Argentina,68.1,101+,72.9,79,52.9,101+,52.4,101+,,,
