2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
=100,92,"University of California, Irvine",United States of America,69.3,101+,59.7,101+,88.6,47,89.3,35=,52.3,101+,71.6
=100,101-150,Vanderbilt University,United States of America,71.4,92,60.0,101+,87.4,79=,87.0,51=,48.3,101+,71.6
101-150,101-150,Brown University,United States of America,69.1,101+,69.1,100,84.1,101+,84.7,73=,45.0,101+,
101-150,=82,Cardiff University,United Kingdom,67.6,101+,60.4,101+,93.5,9,85.1,69=,53.7,101+,
101-150,151-200,City University of Hong Kong,"Hong Kong SAR, China",74.1,68,66.7,101+,80.0,101+,71.0,101+,19.1,101+,
101-150,151-200,Deakin University,Australia,61.0,101+,61.4,101+,86.2,101+,84.4,77=,56.9,83=,
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,68.4,101+,56.0,101+,83.5,101+,80.5,101+,50.9,101+,
101-150,151-200,Florida State University,United States of America,65.9,101+,58.8,101+,87.8,67=,87.8,47,53.9,100=,
101-150,101-150,Fudan University,China (Mainland),72.0,85=,82.5,25,78.4,101+,69.3,101+,36.6,101+,
101-150,=88,HSE University,Russian Federation,62.8,101+,78.5,38,75.4,101+,73.4,101+,64.6,45,
101-150,101-150,Macquarie University,Australia,69.9,101+,60.7,101+,86.4,101+,83.2,88=,48.6,101+,
101-150,101-150,Nottingham Trent University,United Kingdom,65.0,101+,50.9,101+,89.0,40=,82.1,101+,60.6,62,
101-150,101-150,Queensland University of Technology (QUT),Australia,65.8,101+,59.8,101+,80.8,101+,73.0,101+,61.6,54,
101-150,101-150,Renmin (People's) University of China,China (Mainland),69.9,101+,71.1,87,91.7,14,81.9,101+,13.4,101+,
101-150,101-150,Ruprecht-Karls-Universität Heidelberg,Germany,66.4,101+,67.1,101+,80.6,101+,80.5,101+,62.8,51,
101-150,151-200,Seoul National University,Republic of Korea,80.2,41,76.1,52,77.3,101+,65.6,101+,17.6,101+,
101-150,101-150,Sorbonne University,France,64.7,101+,78.6,37,75.8,101+,68.9,101+,42.2,101+,
101-150,=100,Stockholm University,Sweden,68.0,101+,57.0,101+,87.7,70=,79.9,101+,53.1,101+,
101-150,251-300,Sun Yat-sen University,China (Mainland),68.1,101+,72.9,77,83.7,101+,74.1,101+,21.9,101+,
101-150,151-200,Texas A&M University,United States of America,68.7,101+,64.5,101+,85.2,101+,82.7,100,39.6,101+,
101-150,=100,The University of Exeter,United Kingdom,69.3,101+,61.4,101+,91.5,15,83.4,84=,50.9,101+,
101-150,101-150,The University of Sheffield,United Kingdom,62.9,101+,65.0,101+,87.3,83,82.9,95=,53.4,101+,
101-150,94,The University of Western Australia,Australia,67.9,101+,61.0,101+,89.7,33=,84.2,80,45.3,101+,
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,72.8,77,91.2,8,65.5,101+,59.3,101+,49.5,101+,
101-150,101-150,Universidad de Chile,Chile,68.2,101+,85.8,15,69.8,101+,62.4,101+,35.4,101+,
101-150,101-150,Università Cattolica del Sacro Cuore,Italy,65.4,101+,67.1,101+,86.6,96=,83.2,88=,49.3,101+,
101-150,101-150,Universität Leipzig,Germany,72.4,81,50.4,101+,89.6,36=,82.9,95=,52.1,101+,
101-150,101-150,Universität Mannheim,Germany,73.4,72=,57.0,101+,86.8,90=,76.2,101+,39.9,101+,
101-150,101-150,Université de Montréal,Canada,68.8,101+,68.8,101+,76.4,101+,79.0,101+,45.6,101+,
101-150,101-150,Université PSL,France,66.4,101+,74.7,61=,80.1,101+,74.1,101+,45.7,101+,
101-150,101-150,University of Calgary,Canada,62.7,101+,64.7,101+,84.8,101+,82.9,95=,51.9,101+,
101-150,101-150,"University of California, Davis",United States of America,60.0,101+,61.5,101+,91.8,13,90.3,27=,61.1,58=,
101-150,101-150,"University of California, Santa Barbara (UCSB)",United States of America,65.7,101+,56.7,101+,90.5,22=,82.4,101+,39.5,101+,
101-150,101-150,University of Copenhagen,Denmark,63.0,101+,67.9,101+,85.5,101+,83.2,88=,54.3,98=,
101-150,151-200,University of Florida,United States of America,68.9,101+,61.3,101+,83.6,101+,87.0,51=,54.5,95,
101-150,93,University of Glasgow,United Kingdom,67.3,101+,70.1,91=,87.2,84=,76.9,101+,49.3,101+,
101-150,=72,University of Helsinki,Finland,67.2,101+,60.8,101+,83.5,101+,81.3,101+,71.5,24,
101-150,=98,University of Kent,United Kingdom,65.1,101+,57.0,101+,94.5,5=,85.8,62=,54.9,93,
