2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,Institut Lyfe,France,61.2,44,47.7,48,,,,,,,
51-100,101-150,Johnson & Wales University,United States of America,53.9,51+,45.5,51+,,,,,,,
51-100,51-100,Leeds Beckett University,United Kingdom,60.1,49,41.0,51+,65.6,51+,,,,,
51-100,=47,Lomonosov Moscow State University,Russian Federation,51.7,51+,46.2,51+,50.2,51+,,,,,
51-100,51-100,Manchester Metropolitan University (MMU),United Kingdom,51.9,51+,44.0,51+,84.2,23,,,,,
51-100,51-100,Middlesex University,United Kingdom,46.9,51+,47.4,50=,76.6,51+,,,,,
51-100,51-100,Monash University,Australia,50.3,51+,43.7,51+,74.9,51+,,,,,
51-100,=49,Plekhanov Russian University of Economics,Russian Federation,50.2,51+,47.3,51+,43.4,51+,,,,,
51-100,51-100,SAIT Polytechnic - School of Hospitality and Tourism,Canada,47.5,51+,59.8,21,,,,,,,
51-100,51-100,Sheffield Hallam University,United Kingdom,58.1,51+,39.3,51+,68.0,51+,,,,,
51-100,101-150,Sunway University,Malaysia,58.0,51+,34.6,51+,62.0,51+,,,,,
51-100,51-100,Technological University Dublin,Ireland,58.5,51+,42.0,51+,59.0,51+,,,,,
51-100,45,Temple University,United States of America,65.1,33=,34.8,51+,81.0,36,,,,,
51-100,41,Texas A&M University,United States of America,62.9,41,38.0,51+,77.0,51+,,,,,
51-100,51-100,The University of Auckland,New Zealand,47.0,51+,44.4,51+,76.8,51+,,,,,
51-100,151-160,The University of Exeter,United Kingdom,51.9,51+,40.2,51+,66.3,51+,,,,,
51-100,51-100,The University of Hong Kong,"Hong Kong SAR, China",51.1,51+,47.3,51+,71.0,51+,,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,48.3,51+,43.8,51+,78.5,50,,,,,
51-100,101-150,Tsinghua University,China (Mainland),57.1,51+,37.5,51+,70.7,51+,,,,,
51-100,51-100,UCSI University,Malaysia,47.6,51+,46.0,51+,82.3,30,,,,,
51-100,51-100,Universidad Anáhuac México,Mexico,61.5,43,43.1,51+,,,,,,,
51-100,101-150,Universidad Externado de Colombia,Colombia,59.9,50,44.2,51+,,,,,,,
51-100,51-100,Universidade de São Paulo,Brazil,50.9,51+,47.2,51+,47.0,51+,,,,,
51-100,51-100,Università Commerciale Luigi Bocconi (Bocconi University),Italy,49.8,51+,45.8,51+,86.0,14,,,,,
51-100,51-100,Universitat de Barcelona,Spain,48.7,51+,47.0,51+,59.7,51+,,,,,
51-100,101-150,Universitat Ramon Llull,Spain,46.7,51+,45.5,51+,78.4,51+,,,,,
51-100,51-100,University of Amsterdam,Netherlands,46.4,51+,45.7,51+,66.0,51+,,,,,
51-100,101-150,University of Birmingham,United Kingdom,52.6,51+,38.7,51+,68.8,51+,,,,,
51-100,51-100,University of British Columbia,Canada,52.2,51+,42.5,51+,61.5,51+,,,,,
51-100,51-100,University of Guelph,Canada,56.6,51+,35.6,51+,79.1,45,,,,,
51-100,101-150,University of Leeds,United Kingdom,50.1,51+,41.3,51+,70.6,51+,,,,,
51-100,51-100,University of Macau,"Macao SAR, China",63.8,37,34.6,51+,80.1,40,,,,,
51-100,51-100,University of Massachusetts Amherst,United States of America,60.3,46=,34.2,51+,78.9,46=,,,,,
51-100,44,University of Otago,New Zealand,63.1,40,38.4,51+,73.9,51+,,,,,
51-100,51-100,University of South Florida,United States of America,61.1,45,32.1,51+,95.6,1,,,,,
51-100,51-100,University of Waterloo,Canada,57.8,51+,34.0,51+,82.9,25,,,,,
51-100,39,Ural Federal University - UrFU,Russian Federation,47.4,51+,49.4,40,85.4,16,,,,,
101-150,,Akdeniz Üniversitesi,Türkiye,46.5,51+,39.2,51+,73.7,51+,,,,,
101-150,101-150,Al-Ahliyya Amman University,Jordan,34.4,51+,59.2,22,,,,,,,
101-150,101-150,Amity University,India,43.7,51+,44.4,51+,70.5,51+,,,,,
101-150,51-100,Ca' Foscari University of Venice,Italy,47.2,51+,41.6,51+,58.4,51+,,,,,
101-150,,City University of Hong Kong,"Hong Kong SAR, China",50.2,51+,39.0,51+,84.7,20,,,,,
101-150,101-150,Copenhagen Business School,Denmark,53.2,51+,30.0,51+,86.5,10,,,,,
101-150,101-150,Heriot-Watt University,United Kingdom,41.0,51+,44.9,51+,84.4,21,,,,,
101-150,,Imperial College London,United Kingdom,48.2,51+,36.2,51+,74.3,51+,,,,,
101-150,51-100,IRN Hotel School,South Africa,52.9,51+,41.9,51+,,,,,,,
101-150,51-100,James Cook University,Australia,58.1,51+,32.3,51+,68.5,51+,,,,,
101-150,,King Abdulaziz University (KAU),Saudi Arabia,45.0,51+,40.2,51+,81.7,33,,,,,
101-150,,Korea University,Republic of Korea,48.4,51+,36.6,51+,70.7,51+,,,,,
101-150,=49,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,51.9,51+,40.2,51+,33.1,51+,,,,,
101-150,51-100,Lincoln University,New Zealand,51.3,51+,38.9,51+,72.8,51+,,,,,
101-150,101-150,Lund University,Sweden,53.2,51+,29.8,51+,89.5,7,,,,,
101-150,,Macau University of Science and Technology,"Macao SAR, China",49.7,51+,39.0,51+,80.0,41,,,,,
101-150,101-150,Mahidol University,Thailand,45.8,51+,44.0,51+,69.1,51+,,,,,
101-150,,Nanjing University,China (Mainland),54.3,51+,32.5,51+,80.3,39,,,,,
