2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-275,,Johannes Gutenberg Universität Mainz,Germany,60.3,51+,46.3,51+,86.5,51+,68.4,51+,59.5,51+,
201-275,151-200,King Abdulaziz University (KAU),Saudi Arabia,60.1,51+,64.7,51+,86.6,51+,75.6,51+,57.5,51+,
201-275,201-250,King's College London,United Kingdom,59.6,51+,71.3,51+,87.9,51+,69.1,51+,41.5,51+,
201-275,151-200,Lancaster University,United Kingdom,60.6,51+,57.8,51+,90.4,51+,77.4,51+,55.1,51+,
201-275,,Lanzhou University,China (Mainland),56.5,51+,43.2,51+,89.5,51+,84.9,51+,46.0,51+,
201-275,201-250,Leibniz University Hannover,Germany,66.7,51+,57.4,51+,83.7,51+,71.5,51+,53.7,51+,
201-275,151-200,Lomonosov Moscow State University,Russian Federation,62.5,51+,87.7,16,64.1,51+,73.3,51+,66.8,51+,
201-275,,Memorial University of Newfoundland,Canada,58.1,51+,49.3,51+,84.9,51+,77.2,51+,48.5,51+,
201-275,,Nanjing University of Information Science and Technology,China (Mainland),50.0,51+,32.0,51+,93.0,22=,92.9,16,63.2,51+,
201-275,201-250,National Central University,Taiwan,59.1,51+,66.7,51+,83.0,51+,71.1,51+,56.3,51+,
201-275,,North Carolina State University,United States of America,51.2,51+,70.8,51+,88.8,51+,76.9,51+,44.7,51+,
201-275,,Queensland University of Technology (QUT),Australia,59.4,51+,66.0,51+,86.6,51+,71.1,51+,46.4,51+,
201-275,201-250,Royal Holloway University of London,United Kingdom,64.7,51+,61.7,51+,86.0,51+,70.8,51+,45.6,51+,
201-275,,Rutgers University–New Brunswick,United States of America,58.4,51+,59.2,51+,85.4,51+,72.4,51+,50.2,51+,
201-275,,Southern University of Science and Technology,China (Mainland),61.3,51+,51.5,51+,83.4,51+,74.5,51+,41.1,51+,
201-275,,"Stony Brook University, State University of New York",United States of America,61.1,51+,36.1,51+,92.7,25,77.2,51+,43.6,51+,
201-275,201-250,Technische Universität Bergakademie Freiberg,Germany,66.0,51+,54.1,51+,83.0,51+,67.7,51+,54.2,51+,
201-275,,Technische Universität Dresden,Germany,63.2,51+,66.2,51+,84.7,51+,68.1,51+,54.7,51+,
201-275,201-250,The University of Sheffield,United Kingdom,63.0,51+,65.2,51+,88.6,51+,70.2,51+,53.7,51+,
201-275,,Tianjin University,China (Mainland),63.7,51+,52.1,51+,81.8,51+,81.9,51+,43.5,51+,
201-275,151-200,Universidad de Concepción,Chile,59.0,51+,67.4,51+,83.6,51+,72.1,51+,59.9,51+,
201-275,201-250,Università degli studi Roma Tre,Italy,65.1,51+,61.7,51+,80.1,51+,65.8,51+,52.7,51+,
201-275,,Universitat de Valencia,Spain,48.6,51+,61.3,51+,92.2,28=,77.9,51+,62.1,51+,
201-275,,Universität Innsbruck,Austria,56.3,51+,44.1,51+,88.3,51+,74.2,51+,58.6,51+,
201-275,,Université de Bretagne Occidentale (UBO),France,54.8,51+,28.2,51+,87.0,51+,79.4,51+,71.9,26,
201-275,151-200,Université de Liège,Belgium,59.1,51+,62.5,51+,84.9,51+,76.1,51+,70.6,31,
201-275,201-250,Université de Lille,France,61.7,51+,47.5,51+,85.3,51+,76.4,51+,62.6,51+,
201-275,201-250,Université de Montréal,Canada,61.8,51+,72.1,51+,80.8,51+,69.1,51+,47.3,51+,
201-275,,Université de Rennes 1 (University of Rennes),France,58.9,51+,53.6,51+,87.0,51+,73.3,51+,58.3,51+,
201-275,151-200,Université de Strasbourg,France,59.6,51+,67.2,51+,85.1,51+,75.6,51+,65.1,51+,
201-275,,University of Bayreuth,Germany,66.3,51+,51.2,51+,82.1,51+,67.0,51+,45.5,51+,
